Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 73003 "," 30039 "," 4076 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -47356 "," -24516 "," -7047 "
3.03," Resultado Bruto "," 25647 "," 5523 "," -2971 "
3.04," Despesas/Receitas Operacionais "," -11891 "," -1698 "," -22651 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -19598 "," -7957 "," -23512 "
3.04.02.01," Despesas Gerais e Administrativas "," -16741 "," -6457 "," -23512 "
3.04.02.02," Desepsas Comerciais "," -2857 "," -1500 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -4160 "," 3969 "," -353 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 11867 "," 2290 "," 1214 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 13756 "," 3825 "," -25622 "
3.06," Resultado Financeiro "," -5128 "," -1206 "," 938 "
3.06.01," Receitas Financeiras "," 1426 "," 612 "," 1033 "
3.06.02," Despesas Financeiras "," -6554 "," -1818 "," -95 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 8628 "," 2619 "," -24684 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1161 "," -676 "," 18 "
3.08.01," Corrente "," -1267 "," -540 "," -9 "
3.08.02," Diferido "," 106 "," -136 "," 27 "
3.09," Resultado Líquido das Operações Continuadas "," 7467 "," 1943 "," -24666 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 7467 "," 1943 "," -24666 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 7467 "," 1943 "," -24666 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 20.07000 "," 5.22000 "," -66.29000 "
3.99.01.02," PN "," 20.07000 "," 5.22000 "," -66.29000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 20.07000 "," 5.22000 "," -66.29000 "
3.99.02.02," PN "," 20.07000 "," 5.22000 "," -66.29000 "
