Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 9057457 "," 5363035 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6789104 "," -4012505 "
3.03," Resultado Bruto "," 2268353 "," 1350530 "
3.04," Despesas/Receitas Operacionais "," -1167838 "," -336090 "
3.04.01," Despesas com Vendas "," -616968 "," -409685 "
3.04.02," Despesas Gerais e Administrativas "," -446852 "," -369857 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 183151 "," 692443 "
3.04.05," Outras Despesas Operacionais "," -286682 "," -248991 "
3.04.06," Resultado de Equivalência Patrimonial "," -487 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1100515 "," 1014440 "
3.06," Resultado Financeiro "," -106182 "," 217676 "
3.06.01," Receitas Financeiras "," 468482 "," 710396 "
3.06.01.01," Receitas Financeiras "," 413009 "," 673821 "
3.06.01.02," Efeito de hiperinflação "," 55473 "," 36575 "
3.06.02," Despesas Financeiras "," -574664 "," -492720 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 994333 "," 1232116 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -110151 "," -390024 "
3.08.01," Corrente "," -121055 "," -362900 "
3.08.02," Diferido "," 10904 "," -27124 "
3.09," Resultado Líquido das Operações Continuadas "," 884182 "," 842092 "
3.10," Resultado Líquido de Operações Descontinuadas "," 529 "," -8784 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 529 "," -8784 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 884711 "," 833308 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 697876 "," 664674 "
3.11.02," Atribuído a Sócios Não Controladores "," 186835 "," 168634 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.11910 "," 1.98520 "
3.99.01.02," PN "," 2.11910 "," 1.98520 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 2.11910 "," 1.98520 "
3.99.02.02," PN "," 2.11910 "," 1.98520 "
