Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 19742 "," 3565 "," 1044 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3215 "," -1283 "," -154 "
3.03," Resultado Bruto "," 16527 "," 2282 "," 890 "
3.04," Despesas/Receitas Operacionais "," -257 "," -249 "," -875 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -689 "," -249 "," -282 "
3.04.02.01," Despesas gerais e administrativas "," -515 "," -207 "," -233 "
3.04.02.02," Despesas tributárias "," -174 "," -42 "," -49 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," 0 "," -593 "
3.04.03.01," Provisão para redução ao valor recuperável "," -19320 "," -2696 "," -130 "
3.04.03.02," Provisão de remuneração dos debenturistas(Perda na Emissão) "," 19320 "," 2696 "," 130 "
3.04.03.03," Provisão para Perdas na Operação "," 0 "," 0 "," -593 "
3.04.04," Outras Receitas Operacionais "," 432 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 16270 "," 2033 "," 15 "
3.06," Resultado Financeiro "," -16270 "," -2033 "," -15 "
3.06.01," Receitas Financeiras "," 2315 "," 2741 "," 355 "
3.06.02," Despesas Financeiras "," -18585 "," -4774 "," -370 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," "," "," "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," "," "," "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
