Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 11709713 "," 8317691 "," 9514222 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -8196452 "," -5506277 "," -6402338 "
3.03," Resultado Bruto "," 3513261 "," 2811414 "," 3111884 "
3.04," Despesas/Receitas Operacionais "," -933929 "," -808058 "," -937540 "
3.04.01," Despesas com Vendas "," -125413 "," -156893 "," -154908 "
3.04.02," Despesas Gerais e Administrativas "," -835103 "," -707526 "," -742109 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 26587 "," 56361 "," -40523 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2579332 "," 2003356 "," 2174344 "
3.06," Resultado Financeiro "," -305063 "," -283479 "," -180381 "
3.06.01," Receitas Financeiras "," 491347 "," 221355 "," 252235 "
3.06.01.01," Receitas Financeiras "," 401246 "," 178504 "," 205637 "
3.06.01.02," Derivativos "," 90101 "," 42851 "," 46598 "
3.06.02," Despesas Financeiras "," -796410 "," -504834 "," -432616 "
3.06.02.01," Despesas Financeiras "," -735522 "," -354607 "," -405098 "
3.06.02.02," Variação cambial líquida "," -60888 "," -150227 "," -27518 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2274269 "," 1719877 "," 1993963 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -155148 "," -569264 "," -626784 "
3.08.01," Corrente "," -151792 "," -546024 "," -710881 "
3.08.02," Diferido "," -3356 "," -23240 "," 84097 "
3.09," Resultado Líquido das Operações Continuadas "," 2119121 "," 1150613 "," 1367179 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 2119121 "," 1150613 "," 1367179 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 15.65240 "," 8.49874 "," 10.09835 "
3.99.01.02," PNA "," 17.21764 "," 9.34861 "," 11.10819 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 15.61574 "," 8.47374 "," 10.07811 "
3.99.02.02," PNA "," 17.17732 "," 9.32111 "," 11.08592 "
