Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 435516 "," 391968 "," 348153 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -256599 "," -245170 "," -241687 "
3.03," Resultado Bruto "," 178917 "," 146798 "," 106466 "
3.04," Despesas/Receitas Operacionais "," -99235 "," -43520 "," -127648 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -98430 "," -49920 "," -51269 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -1529 "," 5822 "," -6863 "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -68382 "
3.04.05.01," Provisão para redução ao valor recuperável "," 0 "," 0 "," -68382 "
3.04.06," Resultado de Equivalência Patrimonial "," 724 "," 578 "," -1134 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 79682 "," 103278 "," -21182 "
3.06," Resultado Financeiro "," -99177 "," -55857 "," 10890 "
3.06.01," Receitas Financeiras "," 26520 "," 26474 "," 62892 "
3.06.02," Despesas Financeiras "," -125697 "," -82331 "," -52002 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -19495 "," 47421 "," -10292 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -36014 "," -23811 "," -6289 "
3.08.01," Corrente "," -37534 "," -23297 "," -9985 "
3.08.02," Diferido "," 1520 "," -514 "," 3696 "
3.09," Resultado Líquido das Operações Continuadas "," -55509 "," 23610 "," -16581 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -55509 "," 23610 "," -16581 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -62028 "," 20065 "," -19487 "
3.11.02," Atribuído a Sócios Não Controladores "," 6519 "," 3545 "," 2906 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.78000 "," 0.44000 "," -0.32000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.33000 "," -0.31000 "
