Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 51291000 "," 51253000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -38341000 "," -37504000 "
3.03," Resultado Bruto "," 12950000 "," 13749000 "
3.04," Despesas/Receitas Operacionais "," -11260000 "," -11120000 "
3.04.01," Despesas com Vendas "," -7645000 "," -7755000 "
3.04.02," Despesas Gerais e Administrativas "," -1708000 "," -1588000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -1860000 "," -1875000 "
3.04.05.01," Depreciação / Amortização "," -1853000 "," -1804000 "
3.04.05.02," Ganho/Perda na Alienação de Imobilizado "," "," "
3.04.05.03," Outras Despesas Operacionais "," -7000 "," -71000 "
3.04.06," Resultado de Equivalência Patrimonial "," -47000 "," 98000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1690000 "," 2629000 "
3.06," Resultado Financeiro "," -1321000 "," -728000 "
3.06.01," Receitas Financeiras "," "," "
3.06.02," Despesas Financeiras "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 369000 "," 1901000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 594000 "," -662000 "
3.08.01," Corrente "," -82000 "," -371000 "
3.08.02," Diferido "," 676000 "," -291000 "
3.09," Resultado Líquido das Operações Continuadas "," 963000 "," 1239000 "
3.10," Resultado Líquido de Operações Descontinuadas "," -3000 "," 1087000 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -3000 "," 1087000 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 960000 "," 2326000 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 802000 "," 2179000 "
3.11.02," Atribuído a Sócios Não Controladores "," 158000 "," 147000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.98478 "," 8.13283 "
3.99.01.02," PN "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 2.98036 "," 8.12104 "
3.99.02.02," PN "," "," "
