Conta," Descrição ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 ","01/01/2018 a 31/12/2018 "
3.01," Receita de Venda de Bens e/ou Serviços "," 256 "," 1251 "," 2699 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -262 "," -1515 "," -3085 "
3.03," Resultado Bruto "," -6 "," -264 "," -386 "
3.04," Despesas/Receitas Operacionais "," -1419 "," -81268 "," -44937 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," 20201 "," -102653 "," -23155 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 21385 "," -21782 "
3.04.05," Outras Despesas Operacionais "," -21620 "," 0 "," 0 "
3.04.05.01," Outas Despesas Operacionais "," -21620 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -1425 "," -81532 "," -45323 "
3.06," Resultado Financeiro "," -78627 "," -36456 "," -64856 "
3.06.01," Receitas Financeiras "," 15865 "," 30962 "," 30625 "
3.06.02," Despesas Financeiras "," -94492 "," -67418 "," -95481 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -80052 "," -117988 "," -110179 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -996 "," -2707 "," -1402 "
3.08.01," Corrente "," -996 "," -2707 "," -1402 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -81048 "," -120695 "," -111581 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -81048 "," -120695 "," -111581 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -80868 "," -120425 "," -110111 "
3.11.02," Atribuído a Sócios Não Controladores "," -180 "," -270 "," -1470 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -12.49199 "," -18.60281 "," -17.19806 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -12.49199 "," -18.60281 "," -17.19806 "
