Conta," Descrição ","01/03/2021 a 28/02/2022 ","01/03/2020 a 28/02/2021 ","01/03/2019 a 28/02/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 9015855 "," 7465979 "," 5396112 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7237702 "," -5804994 "," -4145275 "
3.03," Resultado Bruto "," 1778153 "," 1660985 "," 1250837 "
3.04," Despesas/Receitas Operacionais "," -1141224 "," -1038793 "," -952597 "
3.04.01," Despesas com Vendas "," -807525 "," -701222 "," -642941 "
3.04.02," Despesas Gerais e Administrativas "," -443197 "," -360858 "," -311537 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 109334 "," 24604 "," 2501 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 164 "," -1317 "," -620 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 636929 "," 622192 "," 298240 "
3.06," Resultado Financeiro "," -127590 "," -85029 "," -62084 "
3.06.01," Receitas Financeiras "," 218319 "," 278206 "," 127245 "
3.06.02," Despesas Financeiras "," -345909 "," -363235 "," -189329 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 509339 "," 537163 "," 236156 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -30618 "," -74487 "," 3472 "
3.08.01," Corrente "," -31064 "," -73449 "," -22127 "
3.08.02," Diferido "," 446 "," -1038 "," 25599 "
3.09," Resultado Líquido das Operações Continuadas "," 478721 "," 462676 "," 239628 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 478721 "," 462676 "," 239628 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 477784 "," 462676 "," 239628 "
3.11.02," Atribuído a Sócios Não Controladores "," 937 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.31560 "," 1.25410 "," 0.61230 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.29810 "," 1.24610 "," 0.61090 "
