Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4160208 "," 3264911 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1806521 "," -1313171 "," 0 "
3.02.01," Custo com energia elétrica "," -509006 "," -370535 "," 0 "
3.02.02," Custo de operação "," -841813 "," -821591 "," 0 "
3.02.03," Custo de construção da infraestrutura de concessão "," -455702 "," -121045 "," 0 "
3.03," Resultado Bruto "," 2353687 "," 1951740 "," 0 "
3.04," Despesas/Receitas Operacionais "," 63730 "," 10637 "," 0 "
3.04.01," Despesas com Vendas "," -344 "," -2534 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -244474 "," -179721 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -210012 "," -216714 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 518560 "," 409606 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2417417 "," 1962377 "," 0 "
3.06," Resultado Financeiro "," -280801 "," -382403 "," 0 "
3.06.01," Receitas Financeiras "," 129322 "," 124488 "," 0 "
3.06.02," Despesas Financeiras "," -410123 "," -506891 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2136616 "," 1579974 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 64574 "," 0 "
3.08.01," Corrente "," 0 "," -242059 "," 0 "
3.08.02," Diferido "," 0 "," 306633 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 2136616 "," 1644548 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 2136616 "," 1644548 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1217513 "," 1198337 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," 790909 "," 446211 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
3.99.02.02," PN "," "," "," "
