Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 950131 "," 810354 "," 730856 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -794350 "," -661817 "," -586161 "
3.03," Resultado Bruto "," 155781 "," 148537 "," 144695 "
3.04," Despesas/Receitas Operacionais "," -31998 "," -60090 "," -64748 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -62994 "," -58476 "," -63978 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 41156 "," 3676 "," 4491 "
3.04.05," Outras Despesas Operacionais "," -10160 "," -5290 "," -5261 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 123783 "," 88447 "," 79947 "
3.06," Resultado Financeiro "," -34495 "," -20616 "," -22776 "
3.06.01," Receitas Financeiras "," 66180 "," 20085 "," 22050 "
3.06.02," Despesas Financeiras "," -100675 "," -40701 "," -44826 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 89288 "," 67831 "," 57171 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -25395 "," -22106 "," -19194 "
3.08.01," Corrente "," -24791 "," -16242 "," -21984 "
3.08.02," Diferido "," -604 "," -5864 "," 2790 "
3.09," Resultado Líquido das Operações Continuadas "," 63893 "," 45725 "," 37977 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 63893 "," 45725 "," 37977 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 78.01000 "," 55.83000 "," 46.39000 "
3.99.01.02," PNA "," "," "," "
3.99.01.03," PNB "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.00000 "," 46.39000 "
3.99.02.02," PNA "," "," "," "
3.99.02.03," PNB "," "," "," "
