Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1077647 "," 896117 "," 909150 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -728404 "," -580153 "," -531900 "
3.03," Resultado Bruto "," 349243 "," 315964 "," 377250 "
3.04," Despesas/Receitas Operacionais "," -23895 "," -17151 "," -31245 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -23895 "," -17151 "," -31245 "
3.04.02.01," Gerais e administrativas "," -25935 "," -18747 "," -36053 "
3.04.02.02," Honorários dos administradores "," "," "," "
3.04.02.03," Outras receitas líquidas "," 2040 "," 1596 "," 4808 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 325348 "," 298813 "," 346005 "
3.06," Resultado Financeiro "," -397943 "," -259769 "," -299902 "
3.06.01," Receitas Financeiras "," 18717 "," 9920 "," 26662 "
3.06.02," Despesas Financeiras "," -416660 "," -269689 "," -326564 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -72595 "," 39044 "," 46103 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 24535 "," -13298 "," -15598 "
3.08.01," Corrente "," 0 "," 0 "," -5615 "
3.08.02," Diferido "," 24535 "," -13298 "," -9983 "
3.09," Resultado Líquido das Operações Continuadas "," -48060 "," 25746 "," 30505 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -48060 "," 25746 "," 30505 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.04316 "," 0.02312 "," 0.02739 "
3.99.01.02," PN "," -0.04316 "," 0.02312 "," 0.02739 "
3.99.02," Lucro Diluído por Ação "," "," "," "
