Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 244986 "," 301594 "," 371396 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -200276 "," -257550 "," -275246 "
3.03," Resultado Bruto "," 44710 "," 44044 "," 96150 "
3.04," Despesas/Receitas Operacionais "," -22364 "," 185405 "," -43120 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -21959 "," -30478 "," -39008 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1765 "," 215883 "," -4112 "
3.04.04.01," Outras Receitas Operacionais "," 1765 "," 3552 "," 916 "
3.04.04.02," outras Receitas (despesas) não recorrentes "," 0 "," 212331 "," -5028 "
3.04.05," Outras Despesas Operacionais "," -2170 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 22346 "," 229449 "," 53030 "
3.06," Resultado Financeiro "," -137239 "," -68638 "," -186242 "
3.06.01," Receitas Financeiras "," 28455 "," 20654 "," 658 "
3.06.02," Despesas Financeiras "," -165694 "," -89292 "," -186900 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -114893 "," 160811 "," -133212 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 38551 "," -56804 "," 45187 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 38551 "," -56804 "," 45187 "
3.09," Resultado Líquido das Operações Continuadas "," -76342 "," 104007 "," -88025 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -76342 "," 104007 "," -88025 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 104007 "," -88025 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.20100 "," 0.27400 "," -0.23200 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.20100 "," 0.27400 "," -0.23200 "
