Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 1294563 "," 1007836 "," 900543 "
3.01.01," Operações de crédito "," 1088384 "," 940531 "," 768318 "
3.01.02," Resultado de operações com TVM "," 185187 "," 67305 "," 132225 "
3.01.03," Resultado de operações de Câmbio "," "," "," "
3.01.04," Resultado com instrumentos financeiros derivativos "," 20992 "," 0 "," 0 "
3.02," Despesas da Intermediação Financeira "," -751330 "," -444969 "," -335822 "
3.02.01," Operações de captação no mercado "," -495462 "," -311558 "," -311172 "
3.02.02," Resultado com instrumentos financeiros derivativos "," 0 "," -220 "," 173 "
3.02.03," Provisão para perdas com créditos "," -255868 "," -133191 "," -24823 "
3.03," Resultado Bruto Intermediação Financeira "," 543233 "," 562867 "," 564721 "
3.04," Outras Despesas/Receitas Operacionais "," -371238 "," -479866 "," -248508 "
3.04.01," Receitas de Prestação de Serviços "," 619 "," 490 "," 306 "
3.04.02," Despesas de Pessoal "," -90880 "," -71963 "," -59788 "
3.04.03," Outras Despesas Administrativas "," -290395 "," -400224 "," -197914 "
3.04.04," Despesas Tributárias "," -37412 "," -33480 "," -27964 "
3.04.05," Outras Receitas Operacionais "," 37875 "," 23407 "," 5992 "
3.04.06," Outras Despesas Operacionais "," -9781 "," -12976 "," -17483 "
3.04.07," Resultado da Equivalência Patrimonial "," 18736 "," 14880 "," 48343 "
3.05," Resultado Operacional "," 171995 "," 83001 "," 316213 "
3.06," Resultado Não Operacional "," "," "," "
3.06.01," Receitas "," "," "," "
3.06.02," Despesas "," "," "," "
3.07," Resultado Antes Tributação/Participações "," 171995 "," 83001 "," 316213 "
3.08," Provisão para IR e Contribuição Social "," -15269 "," -75376 "," -59046 "
3.08.01," Imposto de renda - corrente "," -8379 "," -41359 "," -36147 "
3.08.02," Contribuição social - corrente "," -6890 "," -34017 "," -22899 "
3.09," IR Diferido "," -22141 "," 58813 "," -2477 "
3.10," Participações/Contribuições Estatutárias "," -10907 "," -7841 "," -6429 "
3.10.01," Participações "," "," "," "
3.10.02," Contribuições "," "," "," "
3.11," Reversão dos Juros sobre Capital Próprio "," "," "," "
3.13," Lucro/Prejuízo do Período "," 123678 "," 58597 "," 248261 "
3.99," Lucro por Ação - (R$ / Ação) "," 0.03796 "," 0.01799 "," 3.04839 "
