Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 420693 "," 211281 "," 121509 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -148239 "," -67012 "," -33001 "
3.03," Resultado Bruto "," 272454 "," 144269 "," 88508 "
3.04," Despesas/Receitas Operacionais "," -165370 "," -95827 "," -56212 "
3.04.01," Despesas com Vendas "," -34835 "," -22920 "," -13622 "
3.04.02," Despesas Gerais e Administrativas "," -144433 "," -73980 "," -40745 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 13898 "," 1073 "," -1845 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 107084 "," 48442 "," 32296 "
3.06," Resultado Financeiro "," -39947 "," -5155 "," -8587 "
3.06.01," Receitas Financeiras "," 15817 "," 7906 "," 1390 "
3.06.02," Despesas Financeiras "," -55764 "," -13061 "," -9977 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 67137 "," 43287 "," 23709 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -15465 "," -13549 "," -11016 "
3.08.01," Corrente "," -28185 "," -19538 "," -15144 "
3.08.02," Diferido "," 12720 "," 5989 "," 4128 "
3.09," Resultado Líquido das Operações Continuadas "," 51672 "," 29738 "," 12693 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 51672 "," 29738 "," 12693 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 51672 "," 29738 "," 12693 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.07864 "," 0.05451 "," 0.03518 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.07852 "," 0.05345 "," 0.03429 "
