Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 816759 "," 803026 "," 681935 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -314590 "," -189670 "," -191874 "
3.03," Resultado Bruto "," 502169 "," 613356 "," 490061 "
3.04," Despesas/Receitas Operacionais "," -153379 "," -288458 "," -120189 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -137671 "," -211129 "," -104978 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6214 "," 1730 "," 30600 "
3.04.05," Outras Despesas Operacionais "," -49508 "," -90692 "," -46592 "
3.04.05.01," Depreciação e amortização "," -28779 "," -57084 "," -39545 "
3.04.05.02," Outras despesas "," -20729 "," -33608 "," -7047 "
3.04.06," Resultado de Equivalência Patrimonial "," 27586 "," 11633 "," 781 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 348790 "," 324898 "," 369872 "
3.06," Resultado Financeiro "," -33923 "," -16552 "," -8614 "
3.06.01," Receitas Financeiras "," 12108 "," 2928 "," 5657 "
3.06.02," Despesas Financeiras "," -46031 "," -19480 "," -14271 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 314867 "," 308346 "," 361258 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -109084 "," -108791 "," -137591 "
3.08.01," Corrente "," -105632 "," -155794 "," -129735 "
3.08.02," Diferido "," -3452 "," 47003 "," -7856 "
3.09," Resultado Líquido das Operações Continuadas "," 205783 "," 199555 "," 223667 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 205783 "," 199555 "," 223667 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 188035 "," 194726 "," 213893 "
3.11.02," Atribuído a Sócios Não Controladores "," 17748 "," 4829 "," 9774 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
