Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5124441 "," 3243309 "," 3137369 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3181706 "," -1745379 "," -1899594 "
3.03," Resultado Bruto "," 1942735 "," 1497930 "," 1237775 "
3.04," Despesas/Receitas Operacionais "," -350896 "," -381156 "," -271136 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -544768 "," -448537 "," -373121 "
3.04.02.01," Depreciação e amortização "," -61346 "," -62942 "," -75935 "
3.04.02.02," Despesas ambientais "," -3722 "," -1719 "," -1029 "
3.04.02.03," Despesas com aluguéis "," -3473 "," -3819 "," -3040 "
3.04.02.04," Despesas com exploração e poço seco "," -92537 "," -129148 "," -92671 "
3.04.02.05," Despesas com pessoal "," -279478 "," -179091 "," -136269 "
3.04.02.06," Impostos e contribuições "," -1167 "," -494 "," -65 "
3.04.02.07," Material de consumo "," -1777 "," -1467 "," -3170 "
3.04.02.08," Seguros administrativos "," 0 "," -1236 "," -1461 "
3.04.02.09," Serviços compartilhados - cost sharing "," "," "," "
3.04.02.10," Serviços de terceiros "," -64581 "," -42177 "," -34704 "
3.04.02.20," Outras "," -36687 "," -26444 "," -24777 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 194796 "," 97190 "," 171885 "
3.04.04.20," Outros "," 194796 "," 97190 "," 171885 "
3.04.05," Outras Despesas Operacionais "," -201 "," -21046 "," -67561 "
3.04.05.20," Outros "," -201 "," -21046 "," -67561 "
3.04.06," Resultado de Equivalência Patrimonial "," -723 "," -8763 "," -2339 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1591839 "," 1116774 "," 966639 "
3.06," Resultado Financeiro "," -186520 "," -299654 "," -410180 "
3.06.01," Receitas Financeiras "," 151885 "," 192058 "," 178590 "
3.06.01.01," Aplicação financeira "," 81205 "," 56549 "," 96026 "
3.06.01.02," Mtm contratos de energia "," 0 "," 0 "," 11414 "
3.06.01.04," Multas e juros recebidos ou auferidos "," 41961 "," 2783 "," 4738 "
3.06.01.05," Rendimentos de mútuos "," 651 "," 0 "," 1384 "
3.06.01.06," Variação cambial e monetária "," 16389 "," 124535 "," 41742 "
3.06.01.20," Outros "," 11679 "," 8191 "," 23286 "
3.06.02," Despesas Financeiras "," -338405 "," -491712 "," -588770 "
3.06.02.01," Encargos da dívida "," -4969 "," -137658 "," -217549 "
3.06.02.02," Multa e juros pagos ou incorridos "," -2488 "," -3938 "," -3094 "
3.06.02.03," Amortização custo de transação de empréstimos "," -7969 "," -27961 "," -40878 "
3.06.02.04," Comissão sobre fianças bancárias "," -4011 "," -4729 "," -2419 "
3.06.02.05," Juros de provisão de abandono "," -24851 "," -7589 "," -6906 "
3.06.02.06," Juros de passivos de arrendamento "," -15577 "," -8156 "," -11207 "
3.06.02.07," Juros sobre mútuos "," -413 "," -1572 "," -509 "
3.06.02.08," Juros de debêntures "," -174583 "," -149548 "," -214205 "
3.06.02.09," Perdas com derivativos "," 0 "," -3888 "," 0 "
3.06.02.10," Variação cambial e monetária "," -76034 "," -121056 "," -63077 "
3.06.02.20," Outros "," -27510 "," -25617 "," -28926 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1405319 "," 817120 "," 556459 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -232027 "," 189416 "," 42621 "
3.08.01," Corrente "," -105886 "," -33858 "," -39483 "
3.08.02," Diferido "," -126141 "," 223274 "," 82104 "
3.09," Resultado Líquido das Operações Continuadas "," 1173292 "," 1006536 "," 599080 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 1173292 "," 1006536 "," 599080 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1173300 "," 1007606 "," 600798 "
3.11.02," Atribuído a Sócios Não Controladores "," -8 "," -1070 "," -1718 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.92750 "," 3.19081 "," 1.90521 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.92025 "," 3.17618 "," 1.89101 "
