Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2853141 "," 2320495 "," 2662893 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1758858 "," -1426192 "," -1086511 "
3.03," Resultado Bruto "," 1094283 "," 894303 "," 1576382 "
3.04," Despesas/Receitas Operacionais "," -539804 "," -404309 "," -550347 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -444281 "," -348540 "," -440668 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -95523 "," -55769 "," -109679 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 554479 "," 489994 "," 1026035 "
3.06," Resultado Financeiro "," 8529 "," 6193 "," 73826 "
3.06.01," Receitas Financeiras "," 8529 "," 6193 "," 73826 "
3.06.02," Despesas Financeiras "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 563008 "," 496187 "," 1099861 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -87084 "," -135174 "," -305829 "
3.08.01," Corrente "," -36551 "," -127984 "," -330012 "
3.08.02," Diferido "," -50533 "," -7190 "," 24183 "
3.09," Resultado Líquido das Operações Continuadas "," 475924 "," 361013 "," 794032 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 475924 "," 361013 "," 794032 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 476191 "," 361013 "," 794032 "
3.11.02," Atribuído a Sócios Não Controladores "," 267 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.24000 "," 0.19000 "," 0.43000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.27000 "," 0.19000 "," 0.43000 "
