Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2525448 "," 2139417 "," 2882422 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1344361 "," -1341204 "," -1550943 "
3.03," Resultado Bruto "," 1181087 "," 798213 "," 1331479 "
3.04," Despesas/Receitas Operacionais "," -1176284 "," -1091034 "," -1264547 "
3.04.01," Despesas com Vendas "," -648276 "," -559702 "," -688652 "
3.04.02," Despesas Gerais e Administrativas "," -230536 "," -217271 "," -248987 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -21268 "," -15657 "," 1082 "
3.04.05," Outras Despesas Operacionais "," -276204 "," -298404 "," -327990 "
3.04.05.01," Despesas com depreciação e amortização "," -276204 "," -298404 "," -327990 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4803 "," -292821 "," 66932 "
3.06," Resultado Financeiro "," -157697 "," -142271 "," -146876 "
3.06.01," Receitas Financeiras "," 29409 "," 24850 "," 34935 "
3.06.02," Despesas Financeiras "," -187106 "," -167121 "," -181811 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -152894 "," -435092 "," -79944 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 81140 "," 2896 "," -32417 "
3.08.01," Corrente "," 84124 "," -613 "," -31334 "
3.08.02," Diferido "," -2984 "," 3509 "," -1083 "
3.09," Resultado Líquido das Operações Continuadas "," -71754 "," -432196 "," -112361 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -71754 "," -432196 "," -112361 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -71754 "," -432196 "," -112361 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -27439999999999998.00000 "," -16533500000000001.00000 "," -43103999999999998.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
