Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 364229 "," 296763 "," 343687 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -192789 "," -157448 "," -196025 "
3.03," Resultado Bruto "," 171440 "," 139315 "," 147662 "
3.04," Despesas/Receitas Operacionais "," -22865 "," -20626 "," -18678 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Outras receitas, líquidas "," "," "," "
3.04.05," Outras Despesas Operacionais "," -22865 "," -20626 "," -18678 "
3.04.05.01," Pessoal "," "," "," "
3.04.05.02," Despesas Gerais e Administrativas "," -22884 "," -20643 "," -19002 "
3.04.05.03," Outras Despesas/Receitas Líquidas "," 19 "," 17 "," 324 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 148575 "," 118689 "," 128984 "
3.06," Resultado Financeiro "," -68506 "," -64327 "," -84040 "
3.06.01," Receitas Financeiras "," 3407 "," 2780 "," 7757 "
3.06.02," Despesas Financeiras "," -71913 "," -67107 "," -91797 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 80069 "," 54362 "," 44944 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -24897 "," -16042 "," -13388 "
3.08.01," Corrente "," -17755 "," -15584 "," -29998 "
3.08.02," Diferido "," -7142 "," -458 "," 16610 "
3.09," Resultado Líquido das Operações Continuadas "," 55172 "," 38320 "," 31556 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 55172 "," 38320 "," 31556 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.09438 "," 0.07719 "," 0.06356 "
3.99.02," Lucro Diluído por Ação "," "," "," "
