Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 493878 "," 442679 "," 551843 "
3.01.01," Receita de Serviços "," 493878 "," 442679 "," 551843 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -225374 "," -209966 "," -272267 "
3.02.01," Custos dos Serviços Prestados "," -202906 "," -184475 "," -141372 "
3.02.02," Custo dos Serviços de Construção "," -22468 "," -25491 "," -130895 "
3.03," Resultado Bruto "," 268504 "," 232713 "," 279576 "
3.04," Despesas/Receitas Operacionais "," -27747 "," -7467 "," -26223 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -28437 "," -26152 "," -26467 "
3.04.02.01," Despesas Administrativas "," -28437 "," -26152 "," -26467 "
3.04.02.02," Remuneração da Administração "," "," "," "
3.04.02.03," Despesas Tributárias "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 690 "," 18685 "," 244 "
3.04.04.01," Outras Receitas Operacionais "," 690 "," 18685 "," 244 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 240757 "," 225246 "," 253353 "
3.06," Resultado Financeiro "," -38229 "," -17224 "," -36385 "
3.06.01," Receitas Financeiras "," 66216 "," 45931 "," 55151 "
3.06.01.01," Receitas Financeiras "," 66216 "," 45931 "," 55151 "
3.06.02," Despesas Financeiras "," -104445 "," -63155 "," -91536 "
3.06.02.01," Despesas Financeiras "," -104414 "," -63071 "," -91515 "
3.06.02.02," Variação Cambial Líquida "," -31 "," -84 "," -21 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 202528 "," 208022 "," 216968 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -66420 "," -66470 "," -68141 "
3.08.01," Corrente "," -67236 "," -65047 "," -55684 "
3.08.02," Diferido "," 816 "," -1423 "," -12457 "
3.09," Resultado Líquido das Operações Continuadas "," 136108 "," 141552 "," 148827 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 136108 "," 141552 "," 148827 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 28.57610 "," 29.71910 "," 31.24650 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 28.57610 "," 29.71910 "," 31.24650 "
