Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 226593 "," 189279 "," 201638 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -12537 "," -17432 "," -65021 "
3.03," Resultado Bruto "," 214056 "," 171847 "," 136617 "
3.04," Despesas/Receitas Operacionais "," -111760 "," -85050 "," -59968 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -108624 "," -81821 "," -56365 "
3.04.02.02," Despesas de Pessoal "," -84283 "," -48410 "," -25104 "
3.04.02.03," Outras Despesas Administrativas "," -24341 "," -33411 "," -31261 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 76 "," -359 "," -90 "
3.04.04," Outras Receitas Operacionais "," 501 "," 4041 "," 796 "
3.04.05," Outras Despesas Operacionais "," -3713 "," -6911 "," -4309 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 102296 "," 86797 "," 76649 "
3.06," Resultado Financeiro "," 116771 "," 46747 "," 26512 "
3.06.01," Receitas Financeiras "," 2063752 "," 1223703 "," 477889 "
3.06.02," Despesas Financeiras "," -1946981 "," -1176956 "," -451377 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 219067 "," 133544 "," 103161 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -80407 "," -44809 "," -26646 "
3.08.01," Corrente "," -64850 "," 8709 "," 0 "
3.08.02," Diferido "," -15557 "," -53518 "," -26646 "
3.09," Resultado Líquido das Operações Continuadas "," 138660 "," 88735 "," 76515 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 138660 "," 88735 "," 76515 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 138660 "," 88735 "," 76515 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.53000 "," 0.30000 "," 0.40000 "
3.99.01.02," PN "," 0.53000 "," 0.41000 "," 0.19000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.53000 "," 0.30000 "," 0.40000 "
3.99.02.02," PN "," 0.53000 "," 0.41000 "," 0.18000 "
