Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 34250370 "," 28166559 "," 19573480 "
1.01," Caixa e Equivalentes de Caixa "," 407617 "," 163146 "," 903029 "
1.01.01," Disponibilidades "," 357619 "," 138145 "," 272936 "
1.01.02," Aplicações no mercado aberto "," 49998 "," 25001 "," 630093 "
1.02," Ativos Financeiros "," 27906673 "," 22757496 "," 13785838 "
1.02.01," Ativos Financeiros Avaliados a Valor Justo através do Resultado "," 2034819 "," 375049 "," 542724 "
1.02.01.01," Títulos para Negociação "," "," "," "
1.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.02.01.03," Instrumentos fianceiros derivativos "," 394715 "," 324517 "," 204946 "
1.02.01.04," Operações de crédito "," 0 "," 0 "," 254723 "
1.02.01.05," Títulos e Valores Mobiliários "," 1640104 "," 50532 "," 83055 "
1.02.02," Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes "," 10125495 "," 8437378 "," 2113515 "
1.02.02.01," Títulos e Valores Mobiliários "," 10125495 "," 8437378 "," 2113515 "
1.02.03," Ativos Financeiros Avaliados ao Custo Amortizado "," 15746359 "," 13945069 "," 11129599 "
1.02.03.01," Aplicação em depósitos interfinanceiros "," 38894 "," 25206 "," 46477 "
1.02.03.02," Títulos e Valores Mobiliários "," 103543 "," 3313 "," 11316 "
1.02.03.03," Empréstimos e outros valores com instituições financeiras "," 167517 "," 154227 "," 86397 "
1.02.03.04," Operações de crédito e arrendamento mercantil "," 15999893 "," 14092783 "," 11356105 "
1.02.03.05," Devedores diversos "," 875467 "," 957125 "," 689651 "
1.02.03.06," Provisão para perdas por não recuperação (Impairment) "," -1591076 "," -1287585 "," -1060347 "
1.02.03.07," Depósitos compulsórios no Banco Central "," 152121 "," 0 "," 0 "
1.03," Tributos Diferidos "," 3349575 "," 2656856 "," 2663301 "
1.03.01," Imposto de Renda e Contribuição Social Diferidos "," 2862490 "," 2286754 "," 2285762 "
1.03.02," Imposto de renda e contribuição social a recuperar "," 72332 "," 58186 "," 69256 "
1.03.03," Outros impostos e contribuições a recuperar "," 414753 "," 311916 "," 308283 "
1.04," Outros Ativos "," 1201869 "," 1280654 "," 1049400 "
1.04.01," Ativos Não Correntes a Venda "," 12314 "," 63840 "," 64979 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 823871 "," 720510 "," 607169 "
1.04.04," Depósitos compulsórios no Banco Central "," 0 "," 103774 "," 2925 "
1.04.05," Depósitos judiciais "," 365684 "," 392530 "," 374327 "
1.05," Investimentos "," 44794 "," 600 "," 0 "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," 44794 "," 600 "," 0 "
1.06," Imobilizado "," 82296 "," 92106 "," 141281 "
1.06.01," Imobilizado de Uso "," 82296 "," 92106 "," 141281 "
1.06.02," Direito de Uso em Arrendamento "," "," "," "
1.07," Intangível "," 1257546 "," 1215701 "," 1030631 "
1.07.01," Intangíveis "," 1257546 "," 1215701 "," 1030631 "
1.07.02," Goodwill "," "," "," "
