Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 8805991 "," 9179757 "," 5820197 "
1.01," Ativo Circulante "," 3214633 "," 3763484 "," 2644801 "
1.01.01," Disponibilidades "," 13 "," 132 "," 726 "
1.01.02," Aplicações Interfinanceiras de Liquidez "," 850203 "," 2014697 "," 900359 "
1.01.02.01," Aplicações no mercado aberto "," 850203 "," 2014697 "," 900359 "
1.01.02.02," Aplicações em depósitos interfinanceiros "," "," "," "
1.01.03," Títulos e Valores Mobiliários "," 738293 "," 125869 "," 544218 "
1.01.03.01," Carteira própria "," 724656 "," 119694 "," 377858 "
1.01.03.02," Instrumentos financeiros derivativos "," "," "," "
1.01.03.03," Vinculados a compromisso de recompra "," 13003 "," 5541 "," 130592 "
1.01.03.04," Vinculados a prestação de garantia "," 0 "," 0 "," 35119 "
1.01.03.05," Títulos de capitalização "," 634 "," 634 "," 649 "
1.01.04," Relações Interfinanceiras "," 9293 "," 10 "," 0 "
1.01.04.01," Pagamentos e recebimentos a liquidar "," "," "," "
1.01.04.02," Depósitos no Banco Central "," "," "," "
1.01.05," Relações Interdependências "," "," "," "
1.01.06," Operações de Crédito "," 1594846 "," 1608900 "," 1139809 "
1.01.06.01," Operações de crédito - setor privado "," 1665330 "," 1670907 "," 1212040 "
1.01.06.02," Provisão para perdas com operações de crédito "," -84715 "," -115183 "," -93586 "
1.01.06.03," Operações de crédito - vinculadas a cessão "," 14231 "," 53176 "," 21355 "
1.01.07," Operações de Arrendamento Mercantil "," "," "," "
1.01.08," Outros Créditos "," 21985 "," 13876 "," 59689 "
1.01.08.01," Rendas a receber "," 4498 "," 141 "," 11253 "
1.01.08.02," Diversos "," 17486 "," 13686 "," 49287 "
1.01.08.03," Provisão para perdas outros créditos diversos "," 0 "," 0 "," -874 "
1.01.08.04," Negociação e intermediação de valores "," 1 "," 49 "," 23 "
1.01.08.05," Carteria de câmbio "," "," "," "
1.01.09," Outros Valores e Bens "," "," "," "
1.01.09.01," Outros valores e bens "," "," "," "
1.01.09.02," Despesas antecipadas "," "," "," "
1.02," Ativo Realizável a Longo Prazo "," 5269468 "," 5096013 "," 2645027 "
1.02.01," Aplicações Interfinanceiras de Liquidez "," "," "," "
1.02.01.01," Aplicações em depósitos interfinanceiros "," "," "," "
1.02.02," Títulos e Valores Mobiliários "," 761178 "," 807722 "," 0 "
1.02.02.01," Carteira própria "," 681406 "," 741016 "," 0 "
1.02.02.02," Viculados a compromisso de recompra "," "," "," "
1.02.02.03," Vinculados a prestação de garantia "," 79772 "," 66706 "," 0 "
1.02.03," Relações Interfinanceiras "," "," "," "
1.02.04," Relações Interdependências "," "," "," "
1.02.05," Operações de Crédito "," 4344733 "," 3974353 "," 2443574 "
1.02.05.01," Operações de crédito - setor privado "," 4335981 "," 3881686 "," 2325815 "
1.02.05.02," Provisão para perdas com operações de crédito "," -28300 "," -32060 "," -38845 "
1.02.05.03," Operações de crédito - vinculadas a cessão "," 37052 "," 124727 "," 156604 "
1.02.06," Operações de Arrendamento Mercantil "," "," "," "
1.02.07," Outros Créditos "," 153639 "," 306672 "," 193973 "
1.02.07.01," Diversos "," 40007 "," 89621 "," 71954 "
1.02.07.02," Provisão para perdas outros crédito diversos "," "," "," "
1.02.07.03," Créditos tributários "," 113632 "," 217051 "," 122019 "
1.02.08," Outros Valores e Bens "," 9918 "," 7266 "," 7480 "
1.02.08.01," Outros valores e bens "," 9925 "," 7273 "," 7487 "
1.02.08.02," Provsão para desvalorização "," -7 "," -7 "," -7 "
1.02.08.03," Despesas antecipadas "," "," "," "
1.03," Ativo Permanente "," 321890 "," 320260 "," 530369 "
1.03.01," Investimentos "," 304814 "," 307246 "," 518196 "
1.03.01.01," Dependências no Exterior "," "," "," "
1.03.01.02," Participações em Controladas "," 304757 "," 307188 "," 518137 "
1.03.01.03," Participações em Coligadas e Equiparadas "," "," "," "
1.03.01.04," Outros Investimentos "," 74 "," 75 "," 76 "
1.03.01.05," Provisão para Perdas "," -17 "," -17 "," -17 "
1.03.02," Imobilizado de Uso "," 17076 "," 13014 "," 12173 "
1.03.02.01," Imóveis de uso "," 1972 "," 1954 "," 1867 "
1.03.02.02," Outras imobilizações de uso "," 32662 "," 27949 "," 24092 "
1.03.02.03," Depreciação acumulada "," -17558 "," -16889 "," -13786 "
1.03.03," Imobilizado de Arrendamento "," "," "," "
1.03.04," Intangível "," "," "," "
1.03.04.01," Ativos intangiveis "," "," "," "
1.03.04.02," Amortização acumulada "," "," "," "
1.03.05," Diferido "," "," "," "
