Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 336528 "," 240763 "," 228827 "
1.01," Ativo Circulante "," 204389 "," 136921 "," 117607 "
1.01.01," Caixa e Equivalentes de Caixa "," 48800 "," 44391 "," 27670 "
1.01.01.01," Caixa e Bancos "," 324 "," 171 "," 761 "
1.01.01.02," Aplicações Financeiras de Liquidez Imediata "," 48476 "," 44220 "," 26909 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 56185 "," 42303 "," 38355 "
1.01.03.01," Clientes "," 55994 "," 42267 "," 38278 "
1.01.03.01.01," Clientes Nacionais "," 49667 "," 38595 "," 35192 "
1.01.03.01.02," Clientes no Exterior "," 665 "," 802 "," 91 "
1.01.03.01.03," Vendas para Entrega Futuras "," "," "," "
1.01.03.01.04," Provisão para perdas por redução ao valor recuperável do contas a receber "," -967 "," -389 "," -640 "
1.01.03.01.05," Clientes - Partes Relacionadas "," 6629 "," 3259 "," 3635 "
1.01.03.01.06," (-) Duplicatas Descontadas "," "," "," "
1.01.03.02," Outras Contas a Receber "," 191 "," 36 "," 77 "
1.01.03.02.01," Outros Créditos com Partes Relacionadas "," 36 "," 36 "," 34 "
1.01.03.02.20," Outras Contas a Receber "," 155 "," 0 "," 43 "
1.01.04," Estoques "," 83092 "," 43119 "," 37139 "
1.01.04.01," Produtos acabados "," 33150 "," 15573 "," 14636 "
1.01.04.02," Produtos em Elaboração "," 403 "," 488 "," 479 "
1.01.04.03," Matérias Primas "," 51146 "," 27673 "," 23630 "
1.01.04.04," Material de Consumo e Outros "," 5686 "," 5018 "," 4724 "
1.01.04.05," Estoques em Poder de Terceiros "," "," "," "
1.01.04.19," Provisão para perdas por redução ao valor recuperável dos estoques "," -7293 "," -5633 "," -6330 "
1.01.04.20," Ajuste de Estoques - Lei 11.638 "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 12960 "," 5591 "," 14169 "
1.01.06.01," Tributos Correntes a Recuperar "," 12960 "," 5591 "," 14169 "
1.01.07," Despesas Antecipadas "," 678 "," 410 "," 207 "
1.01.08," Outros Ativos Circulantes "," 2674 "," 1107 "," 67 "
1.01.08.01," Ativos Não-Correntes a Venda "," 355 "," 678 "," 0 "
1.01.08.02," Ativos de Operações Descontinuadas "," 1569 "," 392 "," 0 "
