Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 228063 "," 132099 "," 148725 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -184020 "," -109203 "," -126566 "
3.03," Resultado Bruto "," 44043 "," 22896 "," 22159 "
3.04," Despesas/Receitas Operacionais "," -18679 "," -24938 "," -50608 "
3.04.01," Despesas com Vendas "," -25745 "," -18268 "," -22426 "
3.04.02," Despesas Gerais e Administrativas "," -11623 "," -9458 "," -12030 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 18401 "," 26330 "," 23542 "
3.04.05," Outras Despesas Operacionais "," 288 "," -23542 "," -39694 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 25364 "," -2042 "," -28449 "
3.06," Resultado Financeiro "," -108242 "," -118969 "," -102532 "
3.06.01," Receitas Financeiras "," 15033 "," 11448 "," 26737 "
3.06.02," Despesas Financeiras "," -123275 "," -130417 "," -129269 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -82878 "," -121011 "," -130981 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 2760 "," 5228 "," 1951 "
3.08.01," Corrente "," 0 "," -398 "," 0 "
3.08.02," Diferido "," 2760 "," 5626 "," 1951 "
3.09," Resultado Líquido das Operações Continuadas "," -80118 "," -115783 "," -129030 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -80118 "," -115783 "," -129030 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -80118 "," -115783 "," -129030 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -159.23125 "," -230.11398 "," -256.44185 "
3.99.01.02," PN "," -159.23125 "," -230.11398 "," -256.44185 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -159.23125 "," -230.11398 "," -256.44185 "
3.99.02.02," PN "," -159.23125 "," -230.11398 "," -256.44185 "
