Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 109055 "," 95900 "," 67647 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -92989 "," -68236 "," -56607 "
3.03," Resultado Bruto "," 16066 "," 27664 "," 11040 "
3.04," Despesas/Receitas Operacionais "," -3729 "," -11274 "," -4311 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -22715 "," -17646 "," -16330 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 18986 "," 6372 "," 12019 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 12337 "," 16390 "," 6729 "
3.06," Resultado Financeiro "," -993 "," 541 "," 1367 "
3.06.01," Receitas Financeiras "," 4287 "," 3591 "," 3946 "
3.06.01.01," Receitas Financeiras "," 4287 "," 3591 "," 3946 "
3.06.02," Despesas Financeiras "," -5280 "," -3050 "," -2579 "
3.06.02.01," Despesas Financeiras "," -5160 "," -3370 "," -2579 "
3.06.02.02," Instr. Financ. Derivativos "," -120 "," 320 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 11344 "," 16931 "," 8096 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1072 "," -2419 "," -2749 "
3.08.01," Corrente "," -1619 "," -2536 "," -226 "
3.08.02," Diferido "," 547 "," 117 "," -2523 "
3.09," Resultado Líquido das Operações Continuadas "," 10272 "," 14512 "," 5347 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 10272 "," 14512 "," 5347 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.04440 "," 0.06270 "," 0.02310 "
3.99.02," Lucro Diluído por Ação "," "," "," "
