Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1503310 "," 1140218 "," 1039411 "
3.01.01," Receita Bruta "," 1930959 "," 1536687 "," 1390880 "
3.01.02," (-) Deduções da Receita Bruta "," -427649 "," -396469 "," -351469 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -907258 "," -808631 "," -720566 "
3.03," Resultado Bruto "," 596052 "," 331587 "," 318845 "
3.04," Despesas/Receitas Operacionais "," 32407 "," -18492 "," -20352 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -29595 "," -21247 "," -19192 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 62002 "," 2755 "," -1160 "
3.04.06.01," Receita de equivalência patrimonial "," 93151 "," 33904 "," 29989 "
3.04.06.02," Amortização de ágio "," -31149 "," -31149 "," -31149 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 628459 "," 313095 "," 298493 "
3.06," Resultado Financeiro "," -59620 "," -57573 "," -96876 "
3.06.01," Receitas Financeiras "," 40328 "," 38825 "," 30151 "
3.06.01.01," Receitas Financeiras "," 19948 "," 7622 "," 22455 "
3.06.01.02," Outros resultados financeiros, líquidos "," 20380 "," 31203 "," 7696 "
3.06.02," Despesas Financeiras "," -99948 "," -96398 "," -127027 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 568839 "," 255522 "," 201617 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -77960 "," -37104 "," -26092 "
3.08.01," Corrente "," -33642 "," -13780 "," -18152 "
3.08.02," Diferido "," -44318 "," -23324 "," -7940 "
3.09," Resultado Líquido das Operações Continuadas "," 490879 "," 218418 "," 175525 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 490879 "," 218418 "," 175525 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.91000 "," 0.40000 "," 0.33000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
