Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4714962 "," 4293474 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4721342 "," -4164987 "
3.03," Resultado Bruto "," -6380 "," 128487 "
3.04," Despesas/Receitas Operacionais "," -321433 "," -358326 "
3.04.01," Despesas com Vendas "," -14162 "," -22626 "
3.04.02," Despesas Gerais e Administrativas "," -80600 "," -87488 "
3.04.02.01," Gerais e Administrativas "," -59018 "," -73734 "
3.04.02.02," Honorarios da Administração "," -6796 "," -6778 "
3.04.02.03," Participação dos Empregados e Administradores "," -14786 "," -6976 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 96619 "," 42063 "
3.04.05," Outras Despesas Operacionais "," -323290 "," -290275 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -327813 "," -229839 "
3.06," Resultado Financeiro "," -463657 "," -623057 "
3.06.01," Receitas Financeiras "," 275100 "," 494110 "
3.06.02," Despesas Financeiras "," -738757 "," -1117167 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -791470 "," -852896 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -9635 "," -8708 "
3.08.01," Corrente "," -3 "," -35 "
3.08.02," Diferido "," -9632 "," -8673 "
3.09," Resultado Líquido das Operações Continuadas "," -801105 "," -861604 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -801105 "," -861604 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -801105 "," -861604 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -19.68126 "," -21.16758 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -19.26703 "," -20.72206 "
