Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5738533 "," 4722413 "," 3711271 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4930710 "," -3984134 "," -3125617 "
3.03," Resultado Bruto "," 807823 "," 738279 "," 585654 "
3.04," Despesas/Receitas Operacionais "," -400313 "," -467894 "," -406041 "
3.04.01," Despesas com Vendas "," -380320 "," -341931 "," -284264 "
3.04.02," Despesas Gerais e Administrativas "," -143369 "," -132999 "," -124984 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 123376 "," 7036 "," 3207 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 407510 "," 270385 "," 179613 "
3.06," Resultado Financeiro "," -95651 "," -78125 "," -68780 "
3.06.01," Receitas Financeiras "," 27724 "," 11515 "," 11319 "
3.06.02," Despesas Financeiras "," -123375 "," -89640 "," -80099 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 311859 "," 192260 "," 110833 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -23628 "," -24615 "," -10203 "
3.08.01," Corrente "," -246 "," -1092 "," -4953 "
3.08.02," Diferido "," -23382 "," -23523 "," -5250 "
3.09," Resultado Líquido das Operações Continuadas "," 288231 "," 167645 "," 100630 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 288231 "," 167645 "," 100630 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 167645 "," 100630 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.09190 "," 1.79840 "," 1.07950 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.91700 "," 1.69660 "," 1.01840 "
