Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4649242 "," 3849497 "," 3545330 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2663134 "," -3110719 "," -2738063 "
3.03," Resultado Bruto "," 1986108 "," 738778 "," 807267 "
3.04," Despesas/Receitas Operacionais "," -680650 "," -508514 "," -418094 "
3.04.01," Despesas com Vendas "," -289958 "," -210897 "," -198765 "
3.04.02," Despesas Gerais e Administrativas "," -271248 "," -176633 "," -188510 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -28910 "," -44280 "," -20310 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -91017 "," -76704 "," -10509 "
3.04.06," Resultado de Equivalência Patrimonial "," 483 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1305458 "," 230264 "," 389173 "
3.06," Resultado Financeiro "," -222252 "," -74643 "," -74763 "
3.06.01," Receitas Financeiras "," 87224 "," 85854 "," 12092 "
3.06.02," Despesas Financeiras "," -309476 "," -160497 "," -86855 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1083206 "," 155621 "," 314410 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -358405 "," -50602 "," -98228 "
3.08.01," Corrente "," -41252 "," -18895 "," 0 "
3.08.02," Diferido "," -317153 "," -31707 "," -98228 "
3.09," Resultado Líquido das Operações Continuadas "," 724801 "," 105019 "," 216182 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 724801 "," 105019 "," 216182 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.19636 "," 0.03250 "," 0.08950 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.19636 "," 0.03250 "," 0.08950 "
