Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 33646118 "," 25227625 "," 25486973 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -26923870 "," -19844752 "," -19598673 "
3.02.01," Energia Eletrica Comprada para Revenda "," -16101254 "," -12111489 "," -11286174 "
3.02.02," Encargos de uso da Rede Basica de Trasmissão "," -3336985 "," -1747811 "," -1426278 "
3.02.03," Gás Comprado para Revenda "," -2011340 "," -1083089 "," -1435728 "
3.02.04," Pessoal e Administradores "," -982511 "," -1011557 "," -1001762 "
3.02.05," Materiais "," -75741 "," -62480 "," -73872 "
3.02.06," Serviços de Terceiros "," -1264519 "," -1086517 "," -1042989 "
3.02.07," Depreciação e Amortização "," -947230 "," -865202 "," -814783 "
3.02.08," Provisões Operacionais "," -86227 "," -168099 "," -1213759 "
3.02.09," Compensação Financeira pela Utilização de Recursos Hídricos "," "," "," "
3.02.10," Custo de Construção "," -2035648 "," -1581475 "," -1199698 "
3.02.11," Outras "," -82415 "," -127033 "," -103630 "
3.03," Resultado Bruto "," 6722248 "," 5382873 "," 5888300 "
3.04," Despesas/Receitas Operacionais "," 228923 "," -676577 "," -2678491 "
3.04.01," Despesas com Vendas "," -143856 "," -146705 "," -237733 "
3.04.02," Despesas Gerais e Administrativas "," -571376 "," -582457 "," -641810 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 327511 "," 553844 "," 72738 "
3.04.04.01," Valor justo da combinação de negócios "," 4006 "," 51736 "," 0 "
3.04.04.02," Ganho na alienação de ativo mantido para venda, líquido "," 108550 "," 0 "," 0 "
3.04.04.03," Dividendos recebidos de investida classificada como ativo não circulante mantido para venda "," 0 "," 0 "," 72738 "
3.04.04.04," Receitas – Revisão Tarifaria Periódica, líquidas "," 214955 "," 502108 "," 0 "
3.04.04.05," Ajuste referente à desvalorização em investimentos "," "," "," "
3.04.05," Outras Despesas Operacionais "," 434568 "," -857957 "," -1997037 "
3.04.05.01," Outras (Despesas) Receitas Operacionais "," -452646 "," -749475 "," -1047423 "
3.04.05.02," Compensação de custos com risco hidrológico - Lei 14.052/20, líquido "," 1031809 "," 0 "," 0 "
3.04.05.03," Despesas com Provisões Operacionais "," -144595 "," -108482 "," -949614 "
3.04.05.04," Redução ao valor recuperável de ativos mantidos para venda "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 182076 "," 356698 "," 125351 "
3.04.06.01," Resultado de Equivalência Patrimonial "," 182076 "," 356698 "," 125351 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 6951171 "," 4706296 "," 3209809 "
3.06," Resultado Financeiro "," -2252993 "," -905459 "," 1360277 "
3.06.01," Receitas Financeiras "," 843306 "," 2445405 "," 3206850 "
3.06.02," Despesas Financeiras "," -3096299 "," -3350864 "," -1846573 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 4698178 "," 3800837 "," 4570086 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -945309 "," -935716 "," -1599800 "
3.08.01," Corrente "," -1156082 "," -683681 "," -1454341 "
3.08.02," Diferido "," 210773 "," -252035 "," -145459 "
3.09," Resultado Líquido das Operações Continuadas "," 3752869 "," 2865121 "," 2970286 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," 0 "," 224067 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 0 "," 0 "," 224067 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 3752869 "," 2865121 "," 3194353 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 3751321 "," 2864110 "," 3193678 "
3.11.02," Atribuído a Sócios Não Controladores "," 1548 "," 1011 "," 675 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.22000 "," 1.69000 "," 2.10000 "
3.99.01.02," PN "," 2.22000 "," 1.69000 "," 2.10000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.22000 "," 1.69000 "," 2.10000 "
3.99.02.02," PN "," 2.22000 "," 1.69000 "," 2.10000 "
