Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 381511 "," 289354 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -85369 "," -71068 "
3.02.01," Energia elétrica comprada para revenda "," -38296 "," -14142 "
3.02.02," Depreciação e amortização "," -14125 "," -13920 "
3.02.03," Materiais e serviços de terceiros "," -13271 "," -12058 "
3.02.04," Encargos de uso de rede elétrica e de conexão "," -8419 "," -6198 "
3.02.05," Transações no mercado de energia de curto prazo "," -8086 "," -8902 "
3.02.06," Pessoal "," -7164 "," -6307 "
3.02.07," Seguros "," -1243 "," -1190 "
3.02.08," Repactuação do risco hidrológico "," 6289 "," 0 "
3.02.09," Outros custos operacionais "," -1054 "," -8351 "
3.03," Resultado Bruto "," 296142 "," 218286 "
3.04," Despesas/Receitas Operacionais "," -760 "," -762 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -773 "," -762 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 13 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 295382 "," 217524 "
3.06," Resultado Financeiro "," -96715 "," -63801 "
3.06.01," Receitas Financeiras "," 4073 "," 2315 "
3.06.02," Despesas Financeiras "," -100788 "," -66116 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 198667 "," 153723 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -67530 "," -52220 "
3.08.01," Corrente "," -25222 "," -33739 "
3.08.02," Diferido "," -42308 "," -18481 "
3.09," Resultado Líquido das Operações Continuadas "," 131137 "," 101503 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 131137 "," 101503 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.22507 "," 0.17420 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.22507 "," 0.17420 "
