Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2511746 "," 2011192 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1937650 "," -113188 "," 0 "
3.03," Resultado Bruto "," 574096 "," 1898004 "," 0 "
3.04," Despesas/Receitas Operacionais "," -146887 "," -149946 "," 0 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -185039 "," -177847 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 38716 "," 28165 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," -564 "," -264 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 427209 "," 1748058 "," 0 "
3.06," Resultado Financeiro "," -457708 "," -529617 "," 0 "
3.06.01," Receitas Financeiras "," 81950 "," 61141 "," 0 "
3.06.02," Despesas Financeiras "," -539658 "," -590758 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -30499 "," 1218441 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 547011 "," -370461 "," 0 "
3.08.01," Corrente "," -69178 "," -61525 "," 0 "
3.08.02," Diferido "," 616189 "," -308936 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 516512 "," 847980 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 516512 "," 847980 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 466232 "," 0 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," 50280 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," PN "," 0.23364 "," 0.42444 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," PN "," 0.00000 "," 0.42444 "," 0.00000 "
