Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 110886 "," 82717 "," 98857 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -102429 "," -88565 "," -96236 "
3.03," Resultado Bruto "," 8457 "," -5848 "," 2621 "
3.04," Despesas/Receitas Operacionais "," -54687 "," -167129 "," -23923 "
3.04.01," Despesas com Vendas "," 0 "," -6 "," 33 "
3.04.02," Despesas Gerais e Administrativas "," -7501 "," -6936 "," -6872 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -47186 "," -160187 "," -17084 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -46230 "," -172977 "," -21302 "
3.06," Resultado Financeiro "," -176700 "," -76697 "," -109775 "
3.06.01," Receitas Financeiras "," 6608 "," 6968 "," 15680 "
3.06.01.01," Derivativos "," "," "," "
3.06.01.02," Receitas Financeiras "," 6608 "," 6968 "," 15680 "
3.06.02," Despesas Financeiras "," -183308 "," -83665 "," -125455 "
3.06.02.01," Despesas financeiras "," -183308 "," -83665 "," -125455 "
3.06.02.02," Variação cambial, líquida "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -222930 "," -249674 "," -131077 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 0 "," -10 "
3.08.01," Corrente "," 0 "," 0 "," -10 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -222930 "," -249674 "," -131087 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -222930 "," -249674 "," -131087 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," -0.46593 "," 0.00000 "," 0.00000 "
3.99.01.01," ON "," -0.46593 "," -0.52183 "," -0.27398 "
3.99.01.02," PN "," -0.46593 "," -0.52183 "," -0.27398 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
