Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3638011 "," 3607450 "," 2698357 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2256752 "," -2870407 "," -2082646 "
3.03," Resultado Bruto "," 1381259 "," 737043 "," 615711 "
3.04," Despesas/Receitas Operacionais "," -492322 "," -395687 "," -166515 "
3.04.01," Despesas com Vendas "," -314803 "," -245899 "," -117717 "
3.04.02," Despesas Gerais e Administrativas "," -177918 "," -149864 "," -70127 "
3.04.02.01," Despesas Gerais e Administrativas "," -177918 "," -149864 "," -70127 "
3.04.02.02," Honorários da Administração "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 399 "," 76 "," 41 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 0 "," 21288 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 888937 "," 341356 "," 449196 "
3.06," Resultado Financeiro "," -162481 "," -137682 "," -189393 "
3.06.01," Receitas Financeiras "," 46845 "," 25914 "," 30776 "
3.06.02," Despesas Financeiras "," -209326 "," -163596 "," -220169 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 726456 "," 203674 "," 259803 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -249709 "," -70976 "," -82843 "
3.08.01," Corrente "," -249709 "," -70976 "," -82843 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 476747 "," 132698 "," 176960 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 476747 "," 132698 "," 176960 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 5.48000 "," 1.88000 "," 3.24000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 5.48000 "," 1.88000 "," 3.16000 "
