Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 434592 "," 267320 "," 218112 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -174630 "," -111486 "," -101858 "
3.03," Resultado Bruto "," 259962 "," 155834 "," 116254 "
3.04," Despesas/Receitas Operacionais "," -169594 "," -115369 "," -84716 "
3.04.01," Despesas com Vendas "," -93743 "," -69783 "," -66741 "
3.04.02," Despesas Gerais e Administrativas "," -76271 "," -45676 "," -36649 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 420 "," 90 "," 18674 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 90368 "," 40465 "," 31538 "
3.06," Resultado Financeiro "," -1637 "," -5107 "," 4702 "
3.06.01," Receitas Financeiras "," 6619 "," 5742 "," 10221 "
3.06.02," Despesas Financeiras "," -8256 "," -10849 "," -5519 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 88731 "," 35358 "," 36240 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -11584 "," -9527 "," -12797 "
3.08.01," Corrente "," -11089 "," -9381 "," -12987 "
3.08.02," Diferido "," -495 "," -146 "," 190 "
3.09," Resultado Líquido das Operações Continuadas "," 77147 "," 25831 "," 23443 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 77147 "," 25831 "," 23443 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 77147 "," 25831 "," 23443 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.04920 "," 0.01840 "," 0.02522 "
3.99.01.02," PN "," 0.49230 "," 0.18410 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
