Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 104267 "," 52070 "," 35684 "
3.01.01," Receita líquida de Venda de Produtos Agrícolas "," 73850 "," 52070 "," 35923 "
3.01.02," Receita Liquida de Arrendamento "," 30417 "," 0 "," 0 "
3.01.03," Variação do Vaor Justo dos Ativos Biológicos e Produtos Agrícolas "," 0 "," 0 "," -239 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7140 "," -4044 "," -3948 "
3.03," Resultado Bruto "," 97127 "," 48026 "," 31736 "
3.04," Despesas/Receitas Operacionais "," -21852 "," 298 "," -14582 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -14309 "," -1314 "," -2436 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 1612 "," 0 "
3.04.05," Outras Despesas Operacionais "," -7543 "," 0 "," -12146 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 75275 "," 48324 "," 17154 "
3.06," Resultado Financeiro "," -14691 "," 7469 "," 10848 "
3.06.01," Receitas Financeiras "," 2861 "," 7884 "," 12784 "
3.06.02," Despesas Financeiras "," -17552 "," -415 "," -1936 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 60584 "," 55793 "," 28002 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -22560 "," -19080 "," -10855 "
3.08.01," Corrente "," -6135 "," 0 "," -1282 "
3.08.02," Diferido "," -16425 "," -19080 "," -9573 "
3.09," Resultado Líquido das Operações Continuadas "," 38024 "," 36713 "," 17147 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 38024 "," 36713 "," 17147 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," "," "," "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
