Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5840375 "," 2875973 "," 1831462 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4948462 "," -2534069 "," -1635593 "
3.03," Resultado Bruto "," 891913 "," 341904 "," 195869 "
3.04," Despesas/Receitas Operacionais "," -707013 "," -305662 "," -137679 "
3.04.01," Despesas com Vendas "," -278962 "," -114262 "," -63577 "
3.04.02," Despesas Gerais e Administrativas "," -459216 "," -202711 "," -91387 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 60170 "," 28478 "," 31441 "
3.04.05," Outras Despesas Operacionais "," -29005 "," -17167 "," -14156 "
3.04.05.01," Perdas (reversão) por redução ao valor recuperável de contas a receber "," -18936 "," -7816 "," -3609 "
3.04.05.02," Outras despesas "," -10069 "," -9351 "," -10547 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 184900 "," 36242 "," 58190 "
3.06," Resultado Financeiro "," -85533 "," -16559 "," -27322 "
3.06.01," Receitas Financeiras "," 7855 "," 5135 "," 1720 "
3.06.02," Despesas Financeiras "," -93388 "," -21694 "," -29042 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 99367 "," 19683 "," 30868 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 77374 "," 21259 "," 8692 "
3.08.01," Corrente "," -33175 "," -17475 "," -10625 "
3.08.02," Diferido "," 110549 "," 38734 "," 19317 "
3.09," Resultado Líquido das Operações Continuadas "," 176741 "," 40942 "," 39560 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 176741 "," 40942 "," 39560 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 174522 "," 40339 "," 39560 "
3.11.02," Atribuído a Sócios Não Controladores "," 2219 "," 603 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.37300 "," 0.10300 "," 0.16300 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.36000 "," 0.09900 "," 0.15600 "
