Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3745014 "," 3781915 "," 4135513 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2207164 "," -2299891 "," -2412436 "
3.03," Resultado Bruto "," 1537850 "," 1482024 "," 1723077 "
3.04," Despesas/Receitas Operacionais "," -160351 "," -109699 "," -122427 "
3.04.01," Despesas com Vendas "," -24161 "," -19657 "," -4328 "
3.04.02," Despesas Gerais e Administrativas "," -154300 "," -120249 "," -135326 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6399 "," 17971 "," -3640 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 11711 "," 12236 "," 20867 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1377499 "," 1372325 "," 1600650 "
3.06," Resultado Financeiro "," 29810 "," -501906 "," -328866 "
3.06.01," Receitas Financeiras "," 1182669 "," 1705233 "," 775338 "
3.06.01.01," Derivativos "," 1106312 "," 1616006 "," 596903 "
3.06.01.02," Receitas Financeiras "," 71570 "," 89227 "," 178435 "
3.06.02," Despesas Financeiras "," -1152859 "," -2207139 "," -1104204 "
3.06.02.01," Despesas financeiras "," -708825 "," -727197 "," -911992 "
3.06.02.02," Variação cambial, líquida "," -439247 "," -1479942 "," -192212 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1407309 "," 870419 "," 1271784 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -249310 "," -168711 "," -187151 "
3.08.01," Corrente "," -514018 "," -136290 "," -130332 "
3.08.02," Diferido "," 264708 "," -32421 "," -56819 "
3.09," Resultado Líquido das Operações Continuadas "," 1157999 "," 701708 "," 1084633 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1157999 "," 701708 "," 1084633 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.96740 "," 0.58621 "," 0.90611 "
3.99.01.02," PNA "," 1.06414 "," 0.64482 "," 0.99671 "
3.99.01.03," PNB "," 0.96740 "," 0.58621 "," 0.90611 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
