Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 26797969 "," 20330208 "," 19903135 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -20777842 "," -16672688 "," -16651741 "
3.03," Resultado Bruto "," 6020127 "," 3657520 "," 3251394 "
3.04," Despesas/Receitas Operacionais "," -1071078 "," -955074 "," -909350 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -887410 "," -812739 "," -930617 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 299106 "," 131665 "," 179900 "
3.04.05," Outras Despesas Operacionais "," -482774 "," -274000 "," -158633 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4949049 "," 2702446 "," 2342044 "
3.06," Resultado Financeiro "," -1097546 "," -655796 "," -1360406 "
3.06.01," Receitas Financeiras "," 1430243 "," 735250 "," 910603 "
3.06.02," Despesas Financeiras "," -2527789 "," -1391046 "," -2271009 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 3851503 "," 2046650 "," 981638 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -831137 "," -527653 "," -454480 "
3.08.01," Corrente "," -684665 "," -375889 "," -357709 "
3.08.02," Diferido "," -146472 "," -151764 "," -96771 "
3.09," Resultado Líquido das Operações Continuadas "," 3020366 "," 1518997 "," 527158 "
3.10," Resultado Líquido de Operações Descontinuadas "," 48467 "," 88477 "," 0 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 48467 "," 88477 "," 0 "
3.10.01.01," Resultado de operações continuadas "," 48467 "," 88477 "," 0 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 3068833 "," 1607474 "," 527158 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 2818178 "," 1468945 "," 455373 "
3.11.02," Atribuído a Sócios Não Controladores "," 250655 "," 138529 "," 71785 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.55000 "," 0.81000 "," 0.25000 "
3.99.01.02," PN "," 1.55000 "," 0.81000 "," 0.25000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
