Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 9735479 "," 7116997 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -9001308 "," -6428726 "
3.02.01," Energia Elétrica Comprada para Revenda "," "," "
3.02.03," Encargos do uso do sistema de transmissão "," "," "
3.02.04," Encargos de serviços do sistema "," "," "
3.02.07," Pessoal e Administradores "," "," "
3.02.08," Indenizações DIC / FIC "," "," "
3.02.09," Serviços de Terceiros "," "," "
3.02.10," Material "," "," "
3.02.11," Custo de Construção "," "," "
3.02.16," Depreciação e Amortização "," "," "
3.02.17," Outros custos operacionais "," "," "
3.03," Resultado Bruto "," 711495 "," 688271 "
3.04," Despesas/Receitas Operacionais "," -411120 "," -255636 "
3.04.01," Despesas com Vendas "," -107840 "," -14924 "
3.04.02," Despesas Gerais e Administrativas "," -406747 "," -317760 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 80791 "," 77048 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 300375 "," 432635 "
3.06," Resultado Financeiro "," -451152 "," -211683 "
3.06.01," Receitas Financeiras "," 309460 "," 511496 "
3.06.02," Despesas Financeiras "," -760612 "," -723179 "
3.06.02.01," Despesas Financeiras "," -760612 "," -723179 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -150777 "," 220952 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 32493 "," -86348 "
3.08.01," Corrente "," -54366 "," -93304 "
3.08.02," Diferido "," 86859 "," 6956 "
3.09," Resultado Líquido das Operações Continuadas "," -118824 "," 134604 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -118824 "," 134604 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.41787 "," 0.52727 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.41787 "," 0.52727 "
