Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6580618 "," 2630908 "," 1554937 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5678677 "," -2302564 "," -1286870 "
3.03," Resultado Bruto "," 901941 "," 328344 "," 268067 "
3.04," Despesas/Receitas Operacionais "," -577057 "," -232224 "," -148315 "
3.04.01," Despesas com Vendas "," -275481 "," -109906 "," -61405 "
3.04.02," Despesas Gerais e Administrativas "," -295460 "," -128304 "," -96674 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -6116 "," 5986 "," 9764 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 324884 "," 96120 "," 119752 "
3.06," Resultado Financeiro "," -186096 "," -103490 "," -63582 "
3.06.01," Receitas Financeiras "," "," "," "
3.06.02," Despesas Financeiras "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 138788 "," -7370 "," 56170 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -19391 "," 83581 "," -21968 "
3.08.01," Corrente "," -3552 "," 51817 "," -10177 "
3.08.02," Diferido "," -15839 "," 31764 "," -11791 "
3.09," Resultado Líquido das Operações Continuadas "," 119397 "," 76211 "," 34202 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 119397 "," 76211 "," 34202 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 118338 "," 81492 "," 22172 "
3.11.02," Atribuído a Sócios Não Controladores "," 1059 "," -5281 "," 12030 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.77000 "," 0.24000 "," 0.10000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.74000 "," 0.24000 "," 0.10000 "
