Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6460411 "," 4668637 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5464367 "," -3877468 "
3.02.01," Custo com energia elétrica "," -4555881 "," -3142846 "
3.02.02," Custo de operação "," -390256 "," -366788 "
3.02.03," Custo do serviço prestado a terceiros "," -518230 "," -367834 "
3.03," Resultado Bruto "," 996044 "," 791169 "
3.04," Despesas/Receitas Operacionais "," -262765 "," -288886 "
3.04.01," Despesas com Vendas "," -79646 "," -80301 "
3.04.02," Despesas Gerais e Administrativas "," -139454 "," -152055 "
3.04.02.01," Despesas Gerais e Administrativas "," -139454 "," -152055 "
3.04.02.02," Depreciações e Amortizações "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -43665 "," -56530 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 733279 "," 502283 "
3.06," Resultado Financeiro "," -133688 "," 25425 "
3.06.01," Receitas Financeiras "," 134376 "," 201140 "
3.06.02," Despesas Financeiras "," -268064 "," -175715 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 599591 "," 527708 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -152914 "," -153434 "
3.08.01," Corrente "," -104286 "," -160598 "
3.08.02," Diferido "," -48628 "," 7164 "
3.09," Resultado Líquido das Operações Continuadas "," 446677 "," 374274 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 446677 "," 374274 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.01143 "," 0.00957 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.01143 "," 0.00957 "
