Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8119519 "," 5874849 "," 5595340 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5779585 "," -4097106 "," -4098204 "
3.02.01," Energia elétrica comprada para revenda "," -4062890 "," -2791240 "," -2798370 "
3.02.02," Custo de contrução "," -1141344 "," -680752 "," -773029 "
3.02.03," Pessoal "," "," "," "
3.02.04," Material "," "," "," "
3.02.05," Serviço de terceiro "," "," "," "
3.02.06," Depreciação e amortização "," "," "," "
3.02.07," Subvenção CCC "," "," "," "
3.02.08," Outros "," "," "," "
3.02.09," Custo da operação "," -575351 "," -625114 "," -526805 "
3.03," Resultado Bruto "," 2339934 "," 1777743 "," 1497136 "
3.04," Despesas/Receitas Operacionais "," -693993 "," -608877 "," -755602 "
3.04.01," Despesas com Vendas "," -185677 "," -95866 "," -171243 "
3.04.02," Despesas Gerais e Administrativas "," -259410 "," -262514 "," -227079 "
3.04.02.01," Despesas gerais administrativas e amortização "," -259410 "," -262514 "," -227079 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -162507 "," -212097 "," -173215 "
3.04.03.01," Perdas por redução ao valor recuperável "," -162507 "," -212097 "," -173215 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -86399 "," -38400 "," -184065 "
3.04.05.01," Depreciação e amortização "," "," "," "
3.04.05.02," Outras despesas "," -86399 "," -38400 "," -184065 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1645941 "," 1168866 "," 741534 "
3.06," Resultado Financeiro "," -346780 "," -204068 "," -146837 "
3.06.01," Receitas Financeiras "," 576265 "," 508754 "," 419475 "
3.06.02," Despesas Financeiras "," -923045 "," -712822 "," -566312 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1299161 "," 964798 "," 594697 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -273616 "," -246254 "," -125580 "
3.08.01," Corrente "," -148852 "," -58427 "," -40647 "
3.08.02," Diferido "," -124764 "," -187827 "," -84933 "
3.09," Resultado Líquido das Operações Continuadas "," 1025545 "," 718544 "," 469117 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1025545 "," 718544 "," 469117 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.01.02," PNA "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.01.03," PNB "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.01.04," PNC "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.02.02," PNA "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.02.03," PNB "," 0.46424 "," 0.32593 "," 0.21236 "
3.99.02.04," PNC "," "," "," "
