Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1745161 "," 1573886 "," 1482633 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -987921 "," -862608 "," -844691 "
3.03," Resultado Bruto "," 757240 "," 711278 "," 637942 "
3.04," Despesas/Receitas Operacionais "," -509564 "," -487224 "," -461255 "
3.04.01," Despesas com Vendas "," -149996 "," -160283 "," -164700 "
3.04.02," Despesas Gerais e Administrativas "," -349847 "," -323401 "," -285349 "
3.04.02.01," Despesas administrativas "," -305422 "," -272098 "," -252161 "
3.04.02.02," Despesas tributárias "," -44425 "," -51303 "," -33188 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -10336 "," -3540 "," -11206 "
3.04.06," Resultado de Equivalência Patrimonial "," 615 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 247676 "," 224054 "," 176687 "
3.06," Resultado Financeiro "," -53644 "," -80594 "," 25865 "
3.06.01," Receitas Financeiras "," 110258 "," 68969 "," 122182 "
3.06.02," Despesas Financeiras "," -163902 "," -149563 "," -96317 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 194032 "," 143460 "," 202552 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -38217 "," -8862 "," -36816 "
3.08.01," Corrente "," -41101 "," -52430 "," -78546 "
3.08.02," Diferido "," 2884 "," 43568 "," 41730 "
3.09," Resultado Líquido das Operações Continuadas "," 155815 "," 134598 "," 165736 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 155815 "," 134598 "," 165736 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.84890 "," 0.72710 "," 0.90300 "
3.99.01.02," PN "," 0.93380 "," 0.79980 "," 0.99330 "
3.99.02," Lucro Diluído por Ação "," "," "," "
