Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 23563338 "," 17469557 "," 13347434 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -16602381 "," -12032050 "," -9394166 "
3.03," Resultado Bruto "," 6960957 "," 5437507 "," 3953268 "
3.04," Despesas/Receitas Operacionais "," -2802614 "," -2621183 "," -2105534 "
3.04.01," Despesas com Vendas "," -1833204 "," -1506817 "," -1253165 "
3.04.02," Despesas Gerais e Administrativas "," -776007 "," -654469 "," -548407 "
3.04.02.01," Honorários dos Administradores "," -25257 "," -25551 "," -26609 "
3.04.02.02," Outras "," -750750 "," -628918 "," -521798 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 422154 "," 46369 "," 30278 "
3.04.05," Outras Despesas Operacionais "," -615557 "," -510136 "," -344675 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 3870 "," 10435 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4158343 "," 2816324 "," 1847734 "
3.06," Resultado Financeiro "," 171693 "," -69675 "," -43283 "
3.06.01," Receitas Financeiras "," 992739 "," 1020426 "," 917382 "
3.06.02," Despesas Financeiras "," -821046 "," -1090101 "," -960665 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 4330036 "," 2746649 "," 1804451 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -672556 "," -350692 "," -171996 "
3.08.01," Corrente "," -693854 "," -500450 "," -217098 "
3.08.02," Diferido "," 21298 "," 149758 "," 45102 "
3.09," Resultado Líquido das Operações Continuadas "," 3657480 "," 2395957 "," 1632455 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 3657480 "," 2395957 "," 1632455 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 3585947 "," 2340873 "," 1614581 "
3.11.02," Atribuído a Sócios Não Controladores "," 71533 "," 55084 "," 17874 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.85459 "," 0.55796 "," 0.38489 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.85447 "," 0.55773 "," 0.38465 "
