Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1271260 "," 900952 "," 718606 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -874491 "," -569336 "," -463143 "
3.03," Resultado Bruto "," 396769 "," 331616 "," 255463 "
3.04," Despesas/Receitas Operacionais "," -233009 "," -181107 "," -138762 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -79600 "," -59216 "," -51976 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -153407 "," -121891 "," -86786 "
3.04.05.01," Despesas Comerciais "," -149878 "," -118845 "," -81671 "
3.04.05.02," Outrsas Despesas Operacionais Líquidas "," -3529 "," -3046 "," -5115 "
3.04.06," Resultado de Equivalência Patrimonial "," -2 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 163760 "," 150509 "," 116701 "
3.06," Resultado Financeiro "," -1863 "," 1678 "," 330 "
3.06.01," Receitas Financeiras "," 7413 "," 6376 "," 6044 "
3.06.02," Despesas Financeiras "," -9276 "," -4698 "," -5714 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 161897 "," 152187 "," 117031 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -26813 "," -19983 "," -14794 "
3.08.01," Corrente "," -25873 "," -18867 "," -15218 "
3.08.02," Diferido "," -940 "," -1116 "," 424 "
3.09," Resultado Líquido das Operações Continuadas "," 135084 "," 132204 "," 102237 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 135084 "," 132204 "," 102237 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 135086 "," 132204 "," 102224 "
3.11.02," Atribuído a Sócios Não Controladores "," -2 "," 0 "," 13 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.66000 "," 0.66000 "," 0.51000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
