Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7082535 "," 4257596 "," 5163585 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5958810 "," -3572596 "," -4328633 "
3.03," Resultado Bruto "," 1123725 "," 685000 "," 834952 "
3.04," Despesas/Receitas Operacionais "," -688501 "," -468189 "," -478361 "
3.04.01," Despesas com Vendas "," -300616 "," -194307 "," -208698 "
3.04.02," Despesas Gerais e Administrativas "," -253437 "," -189718 "," -188474 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -134448 "," -84164 "," -81189 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 435224 "," 216811 "," 356591 "
3.06," Resultado Financeiro "," -147197 "," -340937 "," -18021 "
3.06.01," Receitas Financeiras "," 59824 "," 39612 "," 102158 "
3.06.02," Despesas Financeiras "," -207021 "," -380549 "," -120179 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 288027 "," -124126 "," 338570 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -85115 "," 47916 "," -59638 "
3.08.01," Corrente "," -92700 "," -19095 "," -91916 "
3.08.02," Diferido "," 7585 "," 67011 "," 32278 "
3.09," Resultado Líquido das Operações Continuadas "," 202912 "," -76210 "," 278932 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 202912 "," -76210 "," 278932 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 204208 "," -76210 "," 278932 "
3.11.02," Atribuído a Sócios Não Controladores "," -1296 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.41642 "," -0.52903 "," 1.93464 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.40766 "," -0.52629 "," 1.92889 "
3.99.02.02," PN "," "," "," "
