Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 126818 "," 146886 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -60070 "," -59611 "
3.02.01," Custo com energia elétrica "," -83 "," -1819 "
3.02.02," Custo de operação "," -59987 "," -57792 "
3.02.03," Custo do serviço prestado a terceiros "," "," "
3.03," Resultado Bruto "," 66748 "," 87275 "
3.04," Despesas/Receitas Operacionais "," -9462 "," -11987 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -9386 "," -11762 "
3.04.02.01," Despesas Gerais e Administrativas "," -9386 "," -11762 "
3.04.02.02," Depreciações e Amortizações "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -76 "," -225 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 57286 "," 75288 "
3.06," Resultado Financeiro "," -25013 "," -34434 "
3.06.01," Receitas Financeiras "," 4946 "," 2278 "
3.06.02," Despesas Financeiras "," -29959 "," -36712 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 32273 "," 40854 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4697 "," -6412 "
3.08.01," Corrente "," -11818 "," -14318 "
3.08.02," Diferido "," 7121 "," 7906 "
3.09," Resultado Líquido das Operações Continuadas "," 27576 "," 34442 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 27576 "," 34442 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.04615 "," 0.05921 "
3.99.01.02," PNR "," 0.01223 "," 0.01223 "
3.99.01.03," PNA "," 0.04615 "," 0.05921 "
3.99.01.04," PNB "," 0.03669 "," 0.03669 "
3.99.01.05," PNC "," 0.04615 "," 0.05921 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.04615 "," 0.05921 "
3.99.02.02," PNR "," 0.01223 "," 0.01223 "
3.99.02.03," PNA "," 0.04615 "," 0.05921 "
3.99.02.04," PNB "," 0.03669 "," 0.03669 "
3.99.02.05," PNC "," 0.04615 "," 0.05921 "
