Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3616000 "," 2794000 "
3.01.01," Receita Bruta "," 4946000 "," 3851000 "
3.01.02," (-) Deduções da Receita Bruta "," -1330000 "," -1057000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2726000 "," -2154000 "
3.02.01," Custos com Energia Elétrica "," -2084000 "," -1553000 "
3.02.02," Custos de Construção "," -380000 "," -373000 "
3.02.03," Custos de Operação "," -262000 "," -228000 "
3.03," Resultado Bruto "," 890000 "," 640000 "
3.04," Despesas/Receitas Operacionais "," -170000 "," -172000 "
3.04.01," Despesas com Vendas "," -39000 "," -40000 "
3.04.02," Despesas Gerais e Administrativas "," -124000 "," -129000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -7000 "," -3000 "
3.04.05.01," Perdas de Créditos Esperadas "," -7000 "," -3000 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 720000 "," 468000 "
3.06," Resultado Financeiro "," -69000 "," -55000 "
3.06.01," Receitas Financeiras "," 120000 "," 95000 "
3.06.01.01," Receitas Financeiras "," 68000 "," 60000 "
3.06.01.02," Outros Resultados Financeiros, Líquidos "," 52000 "," 35000 "
3.06.02," Despesas Financeiras "," -189000 "," -150000 "
3.06.02.01," Despesas Financeiras "," -189000 "," -150000 "
3.06.02.02," Outros Resultados Financeiros, Líquidos "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 651000 "," 413000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -118000 "," -71000 "
3.08.01," Corrente "," -61000 "," -48000 "
3.08.02," Diferido "," -57000 "," -23000 "
3.09," Resultado Líquido das Operações Continuadas "," 533000 "," 342000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 533000 "," 342000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 3.10000 "," 1.99000 "
3.99.01.02," PNA "," 3.41000 "," 2.19000 "
3.99.01.03," PNB "," 3.41000 "," 2.19000 "
3.99.02," Lucro Diluído por Ação "," "," "
