Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4291368 "," 2214192 "," 1181340 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3292055 "," -1896292 "," -1103100 "
3.03," Resultado Bruto "," 999313 "," 317900 "," 78240 "
3.04," Despesas/Receitas Operacionais "," -156760 "," -163171 "," -226259 "
3.04.01," Despesas com Vendas "," -135308 "," -93990 "," -89889 "
3.04.02," Despesas Gerais e Administrativas "," -83959 "," -77044 "," -132373 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 62507 "," 18827 "," 7592 "
3.04.05," Outras Despesas Operacionais "," 0 "," -10964 "," -11589 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 842553 "," 154729 "," -148019 "
3.06," Resultado Financeiro "," -156093 "," -348344 "," 1065157 "
3.06.01," Receitas Financeiras "," 48248 "," 78492 "," 1310839 "
3.06.01.01," Receitas Financeiras "," 48248 "," 78492 "," 1310839 "
3.06.02," Despesas Financeiras "," -204341 "," -426836 "," -245682 "
3.06.02.01," Despesas Financeiras "," -149107 "," -172097 "," -182988 "
3.06.02.02," Variação Cambial, líquida "," -55234 "," -254739 "," -62694 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 686460 "," -193615 "," 917138 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -19250 "," -5568 "," -252497 "
3.08.01," Corrente "," -170886 "," 0 "," 0 "
3.08.02," Diferido "," 151636 "," -5568 "," -252497 "
3.09," Resultado Líquido das Operações Continuadas "," 667210 "," -199183 "," 664641 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 667210 "," -199183 "," 664641 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 12.38850 "," -3.69840 "," 12.34080 "
3.99.02," Lucro Diluído por Ação "," "," "," "
