Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 631811 "," 534160 "," 179906 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -542384 "," -466955 "," -131409 "
3.03," Resultado Bruto "," 89427 "," 67205 "," 48497 "
3.04," Despesas/Receitas Operacionais "," -62879 "," -44718 "," -38683 "
3.04.01," Despesas com Vendas "," -6943 "," -3145 "," -3329 "
3.04.02," Despesas Gerais e Administrativas "," -52713 "," -41395 "," -32646 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -660 "," -626 "," -2755 "
3.04.04," Outras Receitas Operacionais "," 5032 "," 1126 "," 350 "
3.04.05," Outras Despesas Operacionais "," -7595 "," -678 "," -303 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 26548 "," 22487 "," 9814 "
3.06," Resultado Financeiro "," -5689 "," -5012 "," -8828 "
3.06.01," Receitas Financeiras "," 3486 "," 4616 "," 5504 "
3.06.02," Despesas Financeiras "," -9175 "," -9628 "," -14332 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 20859 "," 17475 "," 986 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 472 "," 13825 "," 7009 "
3.08.01," Corrente "," -5865 "," -2661 "," -1511 "
3.08.02," Diferido "," 6337 "," 16486 "," 8520 "
3.09," Resultado Líquido das Operações Continuadas "," 21331 "," 31300 "," 7995 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 21331 "," 31300 "," 7995 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 21331 "," 31300 "," 9324 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," -1329 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00024 "," 0.00036 "," 0.00140 "
