Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 853490 "," 1131070 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -402252 "," -113508 "," 0 "
3.03," Resultado Bruto "," 451238 "," 1017562 "," 0 "
3.04," Despesas/Receitas Operacionais "," -17943 "," -43617 "," 0 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -13960 "," 14923 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1183 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," -5166 "," -58216 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," -324 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 433295 "," 973945 "," 0 "
3.06," Resultado Financeiro "," -290474 "," -341818 "," 0 "
3.06.01," Receitas Financeiras "," 53682 "," 347705 "," 0 "
3.06.02," Despesas Financeiras "," -344156 "," -689523 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 142821 "," 632127 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -39860 "," -210310 "," 0 "
3.08.01," Corrente "," -172884 "," -671 "," 0 "
3.08.02," Diferido "," 133024 "," -209639 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 102961 "," 421817 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 102961 "," 421817 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 102961 "," 421817 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.01.02," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
3.99.02.02," ON "," "," "," "
