Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1706851 "," 1256244 "," 1983947 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1593010 "," -1266625 "," -1249978 "
3.03," Resultado Bruto "," 113841 "," -10381 "," 733969 "
3.04," Despesas/Receitas Operacionais "," -473387 "," -383322 "," -643751 "
3.04.01," Despesas com Vendas "," -186123 "," -132868 "," -153415 "
3.04.02," Despesas Gerais e Administrativas "," -275816 "," -213583 "," -460382 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 3548 "," 20169 "," 18666 "
3.04.05," Outras Despesas Operacionais "," 0 "," -41254 "," -46844 "
3.04.06," Resultado de Equivalência Patrimonial "," -14996 "," -15786 "," -1776 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -359546 "," -393703 "," 90218 "
3.06," Resultado Financeiro "," -295240 "," -261350 "," -388797 "
3.06.01," Receitas Financeiras "," 248471 "," 212852 "," 57282 "
3.06.02," Despesas Financeiras "," -543711 "," -474202 "," -446079 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -654786 "," -655053 "," -298579 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 21769 "," 50625 "," -40693 "
3.08.01," Corrente "," -24400 "," -14537 "," -40516 "
3.08.02," Diferido "," 46169 "," 65162 "," -177 "
3.09," Resultado Líquido das Operações Continuadas "," -633017 "," -604428 "," -339272 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -633017 "," -604428 "," -339272 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -634581 "," -598584 "," -347980 "
3.11.02," Atribuído a Sócios Não Controladores "," 1564 "," -5844 "," 8708 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -1.21000 "," -1.35000 "," -18.67460 "
3.99.01.02," PN "," 0.00000 "," -1.35000 "," -18.67460 "
3.99.02," Lucro Diluído por Ação "," "," "," "
