Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 10483479 "," 10930222 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -9924345 "," -7912350 "
3.03," Resultado Bruto "," 559134 "," 3017872 "
3.04," Despesas/Receitas Operacionais "," -2596273 "," -4351430 "
3.04.01," Despesas com Vendas "," -2308050 "," -2416200 "
3.04.02," Despesas Gerais e Administrativas "," -2333204 "," -2748533 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 4144744 "," 4736518 "
3.04.05," Outras Despesas Operacionais "," -2096560 "," -3954839 "
3.04.06," Resultado de Equivalência Patrimonial "," -3203 "," 31624 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -2037139 "," -1333558 "
3.06," Resultado Financeiro "," -9553894 "," -12761932 "
3.06.01," Receitas Financeiras "," 352104 "," 1049224 "
3.06.02," Despesas Financeiras "," -9905998 "," -13811156 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -11591033 "," -14095490 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 2036209 "," 3550920 "
3.08.01," Corrente "," -51016 "," -20975 "
3.08.02," Diferido "," 2087225 "," 3571895 "
3.09," Resultado Líquido das Operações Continuadas "," -9554824 "," -10544570 "
3.10," Resultado Líquido de Operações Descontinuadas "," 1062298 "," 16071 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 1062298 "," 16071 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -8492526 "," -10528499 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -8516185 "," -10529963 "
3.11.02," Atribuído a Sócios Não Controladores "," 23659 "," 1464 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -1.43000 "," -1.77000 "
3.99.01.02," PN "," -1.43000 "," -1.77000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -1.43000 "," -1.77000 "
3.99.02.02," PN "," -1.43000 "," -1.77000 "
