Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 5192000 "," 4617000 "
1.01," Ativo Circulante "," 1472000 "," 1015000 "
1.01.01," Caixa e Equivalentes de Caixa "," 167000 "," 209000 "
1.01.02," Aplicações Financeiras "," 2000 "," 1000 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 2000 "," 1000 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 2000 "," 1000 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.02.03.01," Títulos e Valores Mobiliários "," "," "
1.01.03," Contas a Receber "," 702000 "," 495000 "
1.01.03.01," Clientes "," 702000 "," 495000 "
1.01.03.01.01," Contas a Receber de Clientes e Outros "," 702000 "," 495000 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 289000 "," 253000 "
1.01.06.01," Tributos Correntes a Recuperar "," 289000 "," 253000 "
1.01.06.01.01," Tributos Sobre o Lucro a Recuperar "," 45000 "," 31000 "
1.01.06.01.02," Outros Tributos a Recuperar "," 244000 "," 222000 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 312000 "," 57000 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 312000 "," 57000 "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," 144000 "," 4000 "
1.01.08.03.02," Dividendos e Juros sobre Capital Próprio a Receber "," "," "
1.01.08.03.03," Ativo Financeiro Setorial (Parcela A e Outros) "," 120000 "," 24000 "
1.01.08.03.04," Concessão do Serviço Público (Ativo Contratual) "," "," "
1.01.08.03.05," Outros Ativos Circulantes "," 48000 "," 29000 "
1.02," Ativo Não Circulante "," 3720000 "," 3602000 "
1.02.01," Ativo Realizável a Longo Prazo "," 3010000 "," 2915000 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.03.01," Títulos e Valores Mobiliários "," "," "
1.02.01.04," Contas a Receber "," 55000 "," 86000 "
1.02.01.04.01," Contas a Receber de Clientes e Outros "," 55000 "," 86000 "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," "," "
1.02.01.07.01," Tributos Sobre o Lucro Diferidos "," "," "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2955000 "," 2829000 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Instrumentos Financeiros Derivativos "," 126000 "," 260000 "
1.02.01.10.04," Outros Tributos a Recuperar "," 446000 "," 575000 "
1.02.01.10.05," Dividendos a Receber e JSCP "," "," "
1.02.01.10.06," Depósitos Judiciais "," 21000 "," 20000 "
1.02.01.10.07," Ativo Financeiro Setorial (Parcela A e Outros) "," 15000 "," 0 "
1.02.01.10.08," Concessão do Serviço Público (Ativo Financeiro) "," 1933000 "," 1525000 "
1.02.01.10.09," Concessão do Serviço Público (Ativo Contratual) "," 405000 "," 434000 "
1.02.01.10.10," Outros Ativos Não Circulantes "," 9000 "," 15000 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.02," Participações em Controladas "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "
1.02.02.01.04," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 15000 "," 1000 "
1.02.03.01," Imobilizado em Operação "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," 15000 "," 1000 "
1.02.03.02.01," Direito de Uso "," 15000 "," 1000 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 695000 "," 686000 "
1.02.04.01," Intangíveis "," 695000 "," 686000 "
1.02.04.01.01," Contrato de Concessão "," 695000 "," 686000 "
1.02.04.01.02," Outros Intangíveis "," "," "
