Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2624114 "," 2307057 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1229437 "," -1407776 "
3.02.01," Custo com energia elétrica "," -1328735 "," -779350 "
3.02.02," Custo com operação "," -682676 "," -628426 "
3.02.03," Repactuação do risco hidrológico "," 781974 "," 0 "
3.03," Resultado Bruto "," 1394677 "," 899281 "
3.04," Despesas/Receitas Operacionais "," -34776 "," 14824 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -168597 "," -151054 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 133821 "," 165878 "
3.04.04.01," Outras receitas operacionais, líquidas "," 133821 "," 165878 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1359901 "," 914105 "
3.06," Resultado Financeiro "," -767047 "," -722406 "
3.06.01," Receitas Financeiras "," 95079 "," 44304 "
3.06.02," Despesas Financeiras "," -862126 "," -766710 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 592854 "," 191699 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -281208 "," 1458771 "
3.08.01," Corrente "," -40325 "," -47049 "
3.08.02," Diferido "," -240883 "," 1505820 "
3.09," Resultado Líquido das Operações Continuadas "," 311646 "," 1650470 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 311646 "," 1650470 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 58739 "," 624809 "
3.11.02," Atribuído a Sócios Não Controladores "," 252907 "," 1025661 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.15700 "," 0.83140 "
3.99.02," Lucro Diluído por Ação "," "," "
