Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7067827 "," 5723191 "," 4828144 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2496784 "," -2125019 "," -1622718 "
3.03," Resultado Bruto "," 4571043 "," 3598172 "," 3205426 "
3.04," Despesas/Receitas Operacionais "," -3121241 "," -2511544 "," -2455183 "
3.04.01," Despesas com Vendas "," -2209992 "," -1907336 "," -1830328 "
3.04.02," Despesas Gerais e Administrativas "," -889814 "," -674450 "," -595511 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -4881 "," 7097 "," 903 "
3.04.03.01," Perda Esperada (Impairment) do Contas a Receber "," -4881 "," 7097 "," 903 "
3.04.04," Outras Receitas Operacionais "," 34299 "," 88377 "," 71584 "
3.04.05," Outras Despesas Operacionais "," -48525 "," -22565 "," -110713 "
3.04.06," Resultado de Equivalência Patrimonial "," -2328 "," -2667 "," 8882 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1449802 "," 1086628 "," 750243 "
3.06," Resultado Financeiro "," -125986 "," -85511 "," -76606 "
3.06.01," Receitas Financeiras "," 110030 "," 105113 "," 28165 "
3.06.02," Despesas Financeiras "," -236016 "," -190624 "," -104771 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1323816 "," 1001117 "," 673637 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -323922 "," -152147 "," -94396 "
3.08.01," Corrente "," -371601 "," -280071 "," -133073 "
3.08.02," Diferido "," 47679 "," 127924 "," 38677 "
3.09," Resultado Líquido das Operações Continuadas "," 999894 "," 848970 "," 579241 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 999894 "," 848970 "," 579241 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 957518 "," 817031 "," 542526 "
3.11.02," Atribuído a Sócios Não Controladores "," 42376 "," 31939 "," 36715 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.11510 "," 0.95463 "," 0.40702 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.11510 "," 0.95463 "," 0.40702 "
