Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 24144 "," 17825 "," 44533 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," 0 "," -6720 "," -27387 "
3.03," Resultado Bruto "," 24144 "," 11105 "," 17146 "
3.04," Despesas/Receitas Operacionais "," -49672 "," 44005 "," -37472 "
3.04.01," Despesas com Vendas "," 0 "," -870 "," -1181 "
3.04.02," Despesas Gerais e Administrativas "," -41938 "," -77535 "," -38985 "
3.04.02.01," Gerais e Administrativas "," -32839 "," -35117 "," -30671 "
3.04.02.02," Depreciação e Amortização "," -2189 "," -1846 "," -1455 "
3.04.02.03," Despesas Tributárias "," -6910 "," -40572 "," -6859 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 52772 "," 123839 "," 10727 "
3.04.05," Outras Despesas Operacionais "," -60506 "," -1429 "," -8033 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -25528 "," 55110 "," -20326 "
3.06," Resultado Financeiro "," -1946 "," 1282 "," 241 "
3.06.01," Receitas Financeiras "," 6998 "," 6304 "," 2871 "
3.06.02," Despesas Financeiras "," -8944 "," -5022 "," -2630 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -27474 "," 56392 "," -20085 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 14665 "," -7280 "," -2761 "
3.08.01," Corrente "," -3783 "," -5860 "," -2761 "
3.08.02," Diferido "," 18448 "," -1420 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," -12809 "," 49112 "," -22846 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -12809 "," 49112 "," -22846 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -12803 "," 49092 "," -22875 "
3.11.02," Atribuído a Sócios Não Controladores "," -6 "," 20 "," 29 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00000 "," 7857.92000 "," 0.00000 "
3.99.01.02," PN "," 0.00000 "," 3978.29000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
