Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 323108 "," 195289 "," 168072 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -202693 "," -122493 "," -112316 "
3.03," Resultado Bruto "," 120415 "," 72796 "," 55756 "
3.04," Despesas/Receitas Operacionais "," -52088 "," -9791 "," -25500 "
3.04.01," Despesas com Vendas "," -23610 "," -18022 "," -16670 "
3.04.02," Despesas Gerais e Administrativas "," -20126 "," -21820 "," -14466 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -8352 "," 30051 "," 5636 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 68327 "," 63005 "," 30256 "
3.06," Resultado Financeiro "," 35180 "," -66006 "," -8592 "
3.06.01," Receitas Financeiras "," 51004 "," 3314 "," 2442 "
3.06.02," Despesas Financeiras "," -15824 "," -69320 "," -11034 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 103507 "," -3001 "," 21664 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -14713 "," -2708 "," -4360 "
3.08.01," Corrente "," -16108 "," -9471 "," -7050 "
3.08.02," Diferido "," 1395 "," 6763 "," 2690 "
3.09," Resultado Líquido das Operações Continuadas "," 88794 "," -5709 "," 17304 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 88794 "," -5709 "," 17304 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -5709 "," 17304 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 146.28336 "," -9.40527 "," 28.50741 "
3.99.01.02," PN "," 160.91170 "," -10.34580 "," 31.35815 "
3.99.02," Lucro Diluído por Ação "," "," "," "
