Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 453581 "," 388891 "," 394555 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -149656 "," -130339 "," -148096 "
3.03," Resultado Bruto "," 303925 "," 258552 "," 246459 "
3.04," Despesas/Receitas Operacionais "," -46876 "," -50106 "," -50510 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -46892 "," -50158 "," -50608 "
3.04.02.01," Despesas de Vendas, Administrativas e Gerais "," -46892 "," -50158 "," -50608 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 108 "," 70 "," 150 "
3.04.05," Outras Despesas Operacionais "," -92 "," -18 "," -52 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 257049 "," 208446 "," 195949 "
3.06," Resultado Financeiro "," -68079 "," -59470 "," -39172 "
3.06.01," Receitas Financeiras "," 12731 "," 4045 "," 9505 "
3.06.02," Despesas Financeiras "," -80810 "," -63515 "," -48677 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 188970 "," 148976 "," 156777 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -63041 "," -47215 "," -55258 "
3.08.01," Corrente "," -62637 "," -41352 "," -29083 "
3.08.02," Diferido "," -404 "," -5863 "," -26175 "
3.09," Resultado Líquido das Operações Continuadas "," 125929 "," 101761 "," 101519 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 125929 "," 101761 "," 101519 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.38196 "," 0.45906 "," 0.45797 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.38196 "," 0.45906 "," 0.45797 "
