Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 796858 "," 684921 "," 649617 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -307270 "," -248646 "," -238657 "
3.03," Resultado Bruto "," 489588 "," 436275 "," 410960 "
3.04," Despesas/Receitas Operacionais "," 74495 "," -81854 "," -85135 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -74673 "," -81355 "," -89013 "
3.04.02.01," Despesas de Vendas, Administrativas e Gerais "," -74673 "," -81355 "," -89013 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 209 "," 248 "," 3962 "
3.04.05," Outras Despesas Operacionais "," -31 "," -747 "," -84 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 415093 "," 354421 "," 325825 "
3.06," Resultado Financeiro "," -73646 "," -44823 "," -83792 "
3.06.01," Receitas Financeiras "," 44474 "," 30836 "," 26361 "
3.06.02," Despesas Financeiras "," -118120 "," -75659 "," -110153 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 341447 "," 309598 "," 242033 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -114309 "," -100685 "," -84398 "
3.08.01," Corrente "," -114929 "," -87134 "," -85114 "
3.08.02," Diferido "," 620 "," -13551 "," 716 "
3.09," Resultado Líquido das Operações Continuadas "," 227138 "," 208913 "," 157635 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 227138 "," 208913 "," 157635 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.08630 "," 1.86863 "," 1.40997 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.08630 "," 1.86863 "," 1.40997 "
